"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-21-1076"	-0.1008	0.0564	0.0422	0.1155	-0.1325	-0.1337	-0.1579	0.1359	-0.1235	-0.1413	-0.0815	0.7555	0.1238	-0.0275	0.1638	-0.034	0.0221	-0.1235	-0.1239	-0.1235	0.0422	-0.0193	-0.0313	-0.0815	0.0221	0.5007	-0.0193	-0.0925	-0.1221	-0.0313	-0.1359	-0.0793	0.2581	0.1239	-0.1235	0.0579	-0.1417	-0.1409	0.0706	0.4601	0.012	0.4678	0.2476	0.0564	-0.1526	-0.1396	0.0579	0.0174	-0.0793	-0.1413	0.0422	-0.1359	0.0156	-0.1345	-0.0383	0.0174	0.1385	-0.1449	0.0625	0.0214	0.1359	-0.0754	-0.022	-0.0383	-0.1162	-0.1239	0.2581	-0.1359	0.0156	0.0912	-0.034	-0.2837
"TCGA-21-1080"	0.1556	-0.4884	0.1202	0.1303	0.1383	0.0107	-0.4882	0.1223	0.0477	0.1343	-0.4798	0.502	0.1698	0.1291	0.5461	0.1199	-0.5064	0.0044	-0.5354	0.0044	-0.0207	0.1268	-0.5122	0.1132	-0.5064	0.502	0.1268	-0.5038	0.0875	-0.5122	0.0099	-0.4799	0.1588	0.1542	0.0345	-0.0133	-0.5047	-0.5309	0.1245	0.502	0.1135	0.502	0.6078	-0.4884	-0.4433	0.1343	-0.01	0.1522	-0.336458398997357	0.1435	0.1202	0.1474	-0.5194	0.1398	0.1281	0.1356	0.1503	0.1351	0.0857	0.1521	0.1223	0.9256	0.1432	0.1248	-0.5169	-0.5159	0.1584	0.628	-0.5194	0.0959	0.1199	0.151
"TCGA-34-2608"	-0.0192	0.1208	0.1137	0.035	-0.0785	0.0213	-0.0625	0.1229	0.0238	0.0162	-0.161	0.0538	0.0172	0.029	0.1541	0.0156	0.0369	0.0238	-0.1534	0.0238	0.1101	-0.0065	-0.2098	-0.1583	0.0369	0.1208	-0.0065	-0.0647	-0.1223	-0.2098	0.0339	-0.1745	0.0877	-0.095	0.0238	0.012	0.0075	0.0152	0.1129	0.1208	0.1547	0.1208	0.3308	0.1208	0.0192	0.0162	0.012	-0.1156	-0.155	0.0162	0.1137	0.0192	0.0369	-0.036	-0.1178	-0.1094	0.111	-0.0026	0.0151	0.153	0.1229	0.0195	0.0147	-0.107	-0.0702	-0.1483	0.0636	0.0192	0.0369	-0.202	0.0156	-0.1117
"TCGA-60-2698"	-0.2321	-0.2405	-0.0756	0.0824	-0.2217	0.1418	-0.4285	0.2329	-0.2112	-0.0046	-0.2246	0.8997	0.0874	0.2756	0.1708	0.5616	-0.203	-0.2112	0.15	-0.2192	-0.0567	0.0108	-0.247	-0.0419	-0.203	-0.1145	0.0108	-0.1982	-0.1816	-0.247	0.0588	-0.2276	0.0787	0.0793	-0.214952442515562	-0.0147	-0.2102	0.1543	-0.2646	0.5573	0.0441	-0.1145	0.0485	-0.2405	0.0491	-0.4094	-0.0147	-0.1878	-0.2276	-0.273	-0.0756	0.05	-0.203	-0.1391	-0.2022	-0.1878	1.38	0.0495	0.3067	0.3009	-0.2234	-0.226	0.0477	-0.1949	-0.238	0.1141	0.0345	0.0491	-0.203	0.0338	0.2725	-0.1976
"TCGA-60-2712"	0.149	0.1632	-0.0295	0.147	-0.0558	-0.0632	0.473103961965135	-0.0426	-0.0632	0.1438	0.1344	0.1537	0.313	-0.3172	-0.0663	0.1439	-0.2906	-0.0596	-0.0829	-0.0596	-0.0257	0.1398	-0.2877	0.1364	-0.2906	0.1632	0.1398	0.1458	-0.2942	-0.2877	0.0083	-0.3298	0.1372	-0.0782	-0.0632	-0.1063	-0.3267	0.1415	-0.06	0.1632	0.2185	0.1632	0.7286	0.1632	-0.0284	0.1438	-0.1063	-0.0439	-0.3306	0.1438	-0.0474	-0.0284	-0.2873	0.149	-0.0418	-0.0439	0.143	-0.0409	0.1362	0.1604	-0.0426	-0.0674	-0.0381	-0.0169	0.1311	-0.0657	0.1372	-0.0284	-0.2873	0.1703	0.163	-0.0646
"TCGA-60-2725"	-0.1196	0.1136	0.3351	-0.008	-0.1629	0.0548	0.1243	-0.0037	-0.1596	-0.1656	-0.1681	0.0867	0.1135	0.18	-0.0037	0.1873	0.0755	-0.1563	-0.1635	-0.1587	0.3183	-0.0034	-0.0816	-0.1657	0.0755	0.1065	-0.0034	0.0933	-0.1552	-0.0816	-0.1701	-0.1664	-0.0567	0.1258	-0.1596	7e-04	0.0995	0.0454	-0.1687	0.1065	0.0574	0.1065	0.3462	0.1136	-0.157	-0.1629	0.0175	0.0482	-0.1592	-0.1634	0.4185	0.3926	0.1187	-0.1196	0.0482	0.0482	0.1113	-0.0816	0.2298	0.1193	-0.0037	0.2051	0.1095	-0.135244845135587	-0.0865	-0.1675	-0.0643	-0.1382	0.1187	0.0379	0.1873	0.1083
"TCGA-66-2768"	0.0679	0.0353	0.0705	0.0448	0.0521	0.0433	-0.4147	0.0596	-0.4117	0.0675	-0.4397	0.0131	0.0731	0.0937	-0.4262	0.0985	0.0706	-0.4117	-0.3774	-0.445	0.0645	0.0589	-0.4549	0.0809	0.0706	0.0474	0.0589	0.306399481689146	0.0656	-0.4549	-0.4569	-0.4316	0.0775	0.0625	-0.4138	0.0036	0.0554	0.0517	0.0634	0.0459	0.0673	0.0459	0.0695	0.0353	0.0522	0.0678	0.0036	0.0555	-0.4322	0.0675	0.1211	0.0847	0.0682	0.0679	0.0555	0.0555	0.0557	0.0547	0.0653	0.0636	0.0596	0.058	0.0365	0.0143	-0.417	-0.354	0.091	0.0661	0.0682	-0.4887	0.0985	0.0632
"TCGA-33-4547"	-0.3632	0.0845	0.0974	0.0807	0.0837	0.0869	-0.3459	0.0828	0.0837	0.0674	-0.3593	0.0827	0.0681	0.0701	0.0828	0.0885	0.0841	0.0837	0.0788	0.0893	0.1095	0.0597	-0.3357	-0.3634	0.0841	0.0845	0.0597	-0.3453	-0.3593	-0.3357	0.1445	-0.3549	0.3637	0.3777	0.0837	0.033	0.0624823739117705	0.0734	0.098	0.0899	0.1928	0.0899	0.4041	0.0845	0.0897	0.0787	0.0174	0.0927	0.0459	0.0806	0.0974	-0.3565	0.0876	-0.3632	0.0952	0.0927	0.0784	0.0826	0.0612	0.087	0.0828	1.6605	0.0852	0.0899	-0.3302	0.0702	0.3819	1.0897	0.0876	-0.3429	0.0885	0.0973
"TCGA-66-2785"	-0.3112	-0.2974	-0.2972	0.2114	-0.266	0.0415	-0.2547	0.2296	0.0415	-0.2522	-0.6357	0.3403	0.0134	0.2584	0.0303	0.8794	0.0232	0.0415	-0.2517	0.0415	0.2219	0.0058	-0.2851	-0.268	0.0232	0.0668	0.0058	-0.272	-0.2891	-0.2851	0.0203	-0.2657	0.2507	0.0173	0.0415	0.0043	-0.2505	0.017	0.0027	0.3287	0.4301	0.3287	0.0218	-0.2974	0.261	-0.2696	0.0043	0.4448	-0.2657	0.0299	-0.2972	-0.2741	0.0078	0.4266	-0.2936	0.4404	0.2354	-0.3037	0.043	0.399	0.2296	-0.2563	0.087	-0.2904	-0.2464	-0.2299	0.2617	-0.2567	0.0078	1.1963	0.8794	-0.0013
"TCGA-37-3792"	0.0642	0.174	-0.1691	0.1102	-0.1053	0.017	-0.4185	0.2861	-0.0882	-0.1364	0.1392	0.2601	-0.1046	0.1228	-0.0698	0.8077	0.1319	-0.1336	-0.0973	-0.1271	-0.1582	0.0841	0.225871728187919	-0.0643	0.1319	0.2257	0.0841	-0.404	-0.296	-0.2201	0.0745	-0.1218	-0.2795	-0.0944	-0.0882	-0.1129	-0.1238	-0.1336	0.0585	0.231584189189189	0.123742534768307	0.3153	0.1062	0.2086	-0.2411	-0.1198	-0.0231	0.4913	-0.0114173259635084	-0.0507	-0.0971669498949669	0.4836	0.1332	0.0924	-0.0161282500591996	-0.1379	-0.0529	0.285575267117314	0.0774	0.2319	0.2861	-0.1264	0.2765	-0.211	0.4494	-0.0774	-0.0824	0.5206	0.1332	-0.2302	0.7816	0.0796
