"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-AG-3583"	0.0939	0.1122	-0.631	0.0764	0.086	0.0848	-0.6564	0.5652	0.0582	0.0727	0.0611	0.0997	0.0642	0.0802	-0.6373	0.0961	-0.2095	0.0759	0.5177	0.0759	-0.6236	0.063	0.1142	0.0787	-0.2095	0.1122	0.063	-0.6429	0.0865	0.09	-0.2118	0.0705	0.0793	0.0514	0.0138	0.0532	0.0764	0.0997	0.0997	0.0781	0.0997	-0.2289	0.1122	0.1049	0.0732	0.0138	0.0996	-0.2295	0.0489	-0.631	0.1152	-0.2095	0.0939	-0.6322	0.1083	0.0679	0.1158	0.0616	0.095	0.5652	0.0751	0.1095	-0.6384	-0.2242	0.5257	0.0631	0.1337	-0.2095	0.0997	0.0961	0.1062
"TCGA-AG-3593"	-0.0581	0.1491	-0.0862	0.2206	-0.1459	0.1888	-0.679	0.9813	0.53268964984552	-0.1189	0.1894	0.1482	0.2078	-0.2352	-0.6688	-0.28	-0.2229	-0.7317	0.5334	0.163	-0.1299	0.2151	-0.6948	0.1643	-0.2616	0.1491	0.2151	-0.679	-0.3371	0.1968	0.5359	0.1628	-0.0727	0.1869	0.0783	-0.1838	-0.1468	-0.7163	0.1353	0.4439	0.1491	0.5215	0.1491	0.202155328495783	-0.1451	-0.0522	-0.2957	0.5172	-0.1618	-0.1567	0.1583	-0.2713	-0.0581	-0.2957	-0.2957	0.1638	0.2432	-0.2325	0.4385	1.1477	-0.0949	0.2554	-0.3225	-0.1101	0.5429	0.1507	0.1553	-0.2713	0.1482	-0.28	-0.2841
"TCGA-AG-3584"	-0.5977	0.0885	0.072	0.091	0.0748	0.1049	-0.5668	0.8875	0.0999	0.094	0.0856	0.0832	0.8747	0.0961	-0.1897	0.0961	-0.5735	0.078	0.0551	0.078	0.1192	0.0662	-0.5904	0.0717	-0.5735	0.0885	0.0662	-0.557	-0.7067	0.0862	-0.5849	0.5139	-0.6147	0.0747	-0.2325	0.0687	0.0828	0.4569	0.0885	0.1222	0.0885	0.0981	0.0885	0.0954	0.0797	-0.2001	-0.5616	-0.414018939798542	0.0905	0.0542	0.0954	-0.5735	-0.5977	-0.5188	-0.557	0.5139	0.1329	0.0825	0.1016	0.867	0.1803	0.1065	-0.547	0.0931	0.0897	0.5104	0.0954	-0.5735	0.1022	0.0961	-0.5754
"TCGA-AG-3598"	-0.0097	-5e-04	-0.0148	-0.0025	-0.0272	-0.0152	-0.9702	0.6131	0.388	0.0045	0.0076	-0.0491	0.6306	0.0013	0.6321	-0.0032	0.0071	-0.0337	-0.0174	-0.0337	-0.0486	-0.0036	-1.0075	-0.0162	0.0071	-5e-04	-0.0036	-0.9566	-0.0204	-0.0176	-0.0064	0.0017	-0.0036	-0.0017	0.0075	-0.0205434709662882	-0.0099	-1.054	-5e-04	-0.0131	-5e-04	-0.0078	-5e-04	-0.0013	-0.79368590033058	0.0075	-0.0101	-0.0064	-0.0607	-0.0514	0.073	-0.016	-0.0097	-0.0299	-0.0283	0.0045	-0.0252	0.0013	-0.0209	0.6131	-0.0276	0.6465	-0.0432	0.6497	-0.0074	0.0133	-0.0013	-0.016	-0.0026	-0.0032	-0.0111
"TCGA-AG-3586"	0.0164	0.0519	0.0214	0.0022	0.0322	0.0309	-0.0483985419521073	0.3488	-0.0176	0.0017	0.0405	-0.6558	0.4476	0.0122	0.3413	0.0294	0.0213	0.0094	0.731	0.0094	0.0293	0.0088	-0.2291	0.0014	0.0213	0.0519	0.0088	0.0097	-0.0056	0.0107	0.0239	5e-04	2e-04	-0.0313	0.0424	-0.0195	0.0044	0.0086	0.0231550287067893	0.0104	0.0299	0.0068	0.0559	0.0071	-1.23964008301525	0.0412	0.0245	0.0243	-0.0157	0.0323	0.0431	0.0469	0.0164	0.0216	0.0325	-0.0115	0.0403	-0.0016	0.0116	0.3488	-0.6841	0.03	0.0205	0.0378	0.7492	-0.0168	0.0549	0.0469	0.0183	0.0294	0.0226
"TCGA-AG-3600"	0.1861	0.4922	0.1863	0.1451	-0.326	-0.0069	-0.3971	0.1747	-0.6215	-0.3872	0.1678	0.4251	0.9361	0.6257	-0.377	0.6112	-0.3944	-0.6215	-0.2327	-0.0205	0.1674	0.5644	0.1291	0.6258	-0.3944	0.4922	0.5644	0.5947	-0.4111	-0.401	0.1143	0.1696	-0.3953	-0.624260768972157	0.0473	0.1752	0.4756	-0.4063	0.0704	0.9569	0.1268	-0.2579	0.4922	0.1702	-0.4117	0.0162	0.1915	0.0909	-0.457	0.2435	0.4643	-0.4264	0.1861	-0.4824	0.5879	0.6298	0.1291	0.1204	0.535	0.1747	0.1898	0.1291	-0.4565	-0.343	-0.2327	-0.3881	0.2394	-0.4264	0.4112	0.6112	0.1818
"TCGA-AG-3574"	-0.0536	-0.0481	-0.0487	0.4282	-0.047	-0.0576	-0.9198	1.0478	-0.0565	-0.0313	-0.0491	-0.0481	0.462	-0.9244	-0.9301	0.4655	-0.042	-0.0649	-0.0795	-0.0649	-0.0374	0.424	-0.0317	-0.058	-0.042	-0.0481	0.424	-0.8966	-0.1802	-0.0321	-0.0436	-0.0603	-0.055	-0.0444	0.0179	-0.0523	-0.0503	-0.0636	-0.0481	-0.0532	-0.0481	-0.0534	-0.0481	-0.0702	-0.047	0.0386	-0.0393	-0.0724	-0.0941	-0.0411	-0.0321	-0.042	-0.0536	-0.0533	-0.0533	-0.0372	-0.0658	0.4492	-0.0504	1.057	0.4674	-0.0414	-0.0592	-0.0385	-0.0531	-0.0499	-0.0363	-0.042	-0.0382	0.4655	-0.0509
"TCGA-AG-3594"	0.0307	0.0107	0.0547	0.024	0.0434	-0.5456	-0.5606	0.0356	-0.5675	0.0375	0.0323	-0.0119	0.0204	0.4437	0.0356	0.4386	0.0339	-0.5675	-0.571	-0.5675	0.0275	0.0327	-0.5619	0.0287	0.0339	0.0107	0.0327	-0.5881	0.0112	0.0225	0.0288	0.002	0.4286	-0.5675	-0.4361	0.0374	0.0116	0.0227	0.0107	0.0313	0.0107	0.0308	0.0107	0.0226	0.0263	-0.4384	0.0378	0.118829924562013	0.0287	0.0698	0.038	0.0243	0.0307	0.0212	0.0212	0.0158	0.0254	0.4389	0.0203	0.0356	0.9883	0.032	-0.0069	0.4437	-0.555	0.0331	0.038	0.0243	-0.0187	0.4386	-0.5835
"TCGA-AG-3601"	0.363	0.3378	1.1762	-0.1039	-0.1101	-0.0819	-0.6882	1.5054	-0.0508	-0.0562	-0.0465	0.3378	0.8184	0.2381	-0.1831	0.1574	-0.0885	-0.0508	0.7478	-0.1254	0.4167	-0.0871	-0.7704	-0.6748	-0.0885	0.3378	-0.0871	-0.6882	-0.2518	-0.0955	-0.0776	0.2935	0.3252	-0.0543	0.0206	-0.639	-0.1037	-0.7069	0.3378	-0.0929	0.3378	-0.0438	0.3378	0.321	-0.0547	0.013	-0.0752	-0.092	-0.0562	0.9051	0.3824	-0.0885	0.363	-0.1109	-0.1054	1.0043	0.3573	0.109987293269231	-0.1281	1.5017	-0.7889	0.9877	-0.761168543462939	-0.0619	0.7805	0.3454	0.3824	-0.0885	-0.181	0.1721	-1.8537
"TCGA-AG-3725"	0.3397	-0.173	-0.5048	-0.021	-0.0409	-0.008	-1.2393	0.3452	-0.0168	-0.0281	-0.1794	0.1542	-0.0467	-0.0157	0.3403	-0.0034	-0.4792	-0.0168	0.7718	-0.0168	-0.4879	-0.027	-0.49	-0.1794	-0.4792	-0.173	-0.027	-0.3975	-0.4099	-0.4888	0.218	0.6008	0.3134	-0.0168	0.0138	-0.4872	0.0026	-0.002	0.1211	0.044	0.1211	0.2051	-0.173	0.6075	-0.0281	0.0138	-0.0138	0.2184	-0.0281	-0.5048	0.6812	-0.4792	0.3397	-0.0025	-0.0138	0.5943	0.0143	-0.0173	0.0598	0.4374	-0.1407	0.0018	-0.0109	0.5261	0.7695	0.6049	0.6812	-0.4792	-0.175	-0.0034	-0.0013
