"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-BF-A1PU"	0.1899	0.0949	0.15	0.1966	-0.5882	0.158	0.1781	0.4686	-0.5975	-0.5882	0.2177	0.1311	0.2051	0.3188	0.4818	0.3188	0.183	-0.5975	0.1993	-0.5975	0.1173	0.2161	0.1399	0.2225	0.183	0.0949	0.2161	0.1832	0.1292	0.1399	0.1779	0.1982	0.2089	0.2134	-0.5975	-0.008	-0.5478	-0.6268	0.1778	0.0949	0.1986	0.0949	0.2208	0.0949	0.1625	-0.5882	-0.008	-0.585	0.208	-0.5882	0.15	0.1468	0.183	0.1899	-0.6401	-0.585	0.1705	0.1521	-0.6112	0.1976	0.4686	0.2051	0.1494	-0.6413	-0.57	0.1993	0.2188	0.1625	0.183	0.0693	0.3188	-0.6141
"TCGA-BF-A1PX"	0.2115	0.0523	0.0494	0.0526	-0.1496	0.0515	0.0487	0.0373	0.0489	-0.1548	-0.1528	0.0378	0.0469	0.049	0.0373	0.0526	-0.0403	0.0504	0.0227	0.0504	0.0494	0.0475	0.0488	-0.1348	-0.0403	0.0523	0.0475	0.0481	0.0411	0.0488	-0.0785	0.0555	-0.0499	0.0315	0.0489	0.0106	0.0306	-0.048	0.0337	0.0378	0.033	0.0523	0.05	0.0523	0.0593	-0.1496	0.0106	0.0346	0.0555	-0.1515	0.0494	-0.0785	-0.0403	0.0923	0.0346	0.0346	0.0547	0.0599	0.0465	0.0227	0.0373	0.0469	0.0475	0.0346	-0.1426	0.0227	-0.0499	-0.0785	-0.0403	-0.1671	0.0526	0.0437
"TCGA-BF-A1PZ"	-0.0499	-0.1114	-0.0278	-0.0172	-0.0445	-0.0722	0.209518545484461	0.7037	-0.0192	-0.0273	-0.0377	-0.1114	-0.0344	-0.0245	0.7037	-0.0533	-0.0422	-0.0558	0.1007	-0.0558	-0.0684	0.108	-0.0182	-0.0377	-0.0422	-0.1114	0.108	0.227	-0.9095	-0.0182	-0.0517	-0.0366	0.0173	-0.6862	-0.0456	-0.4994	-0.0291	-0.0533	-0.0395	-0.1114	0.7259	-0.1114	-0.8026	-0.1114	-0.066	-0.034	0.2642	-0.0598	-0.0366	-0.0473	-0.0184	-0.0706	-0.0652	-0.0499	-0.0891	-0.0598	-0.0161	0.2012	-0.0245	0.7541	0.7037	-0.0508	0.1973	-0.0866	-0.6835	0.1095	0.0288	-0.066	-0.0652	-0.1548	-0.0533	-0.0659
"TCGA-D3-A1Q1"	0.4708	0.5751	0.019	0.3328	-0.5009	-0.5582	-0.4844	0.6218	-0.5237	-0.4962	0.0031	0.6254	1.0109	0.9235	0.6218	0.8241	-0.4853	-0.5237	0.3451	-0.5237	0.0053	0.32	0.3603	0.0054	-0.4853	0.5751	0.32	-0.4844	-0.0399	0.3603	0.0065	0.0115	0.6311	-0.529	-0.5237	0.0524	-0.4863	-0.5379	-0.5117	0.5538	0.6335	0.5538	0.0033	0.5751	0.0012	-0.5009	-0.0247	0.018	0.0153	0.0256	0.019	0.0065	-0.0158	0.4708	-0.5608	-0.0294	0.6331	0.3192	0.3013	0.5671	0.6218	-0.5124	0.3009	-0.5476	-1.359	0.3139	0.6414	0.0012	-0.0158	-0.5636	0.8241	-0.0218
"TCGA-D3-A1Q4"	0.0934	0.0696	0.1166	0.0835	-0.3314	0.0871	0.097	0.0787	0.0871	-0.3314	0.0928	0.0722	0.4604	0.0914	0.0847	0.0947	0.0992	0.0871	0.0844	0.0871	0.0916	0.0823	0.0913	0.0962	0.0992	0.0696	0.0823	0.097	0.087	0.0913	-0.3274	-0.332	0.6569	-0.3382	0.0871	0.0029	-0.3318	-0.342	-0.3389	0.0696	0.094	0.0696	0.0993	0.4121	-0.333	-0.3314	0.0029	-0.3304	-0.336	-0.3314	0.1166	-0.333	0.098	0.0934	-0.3304	-0.3304	0.6563	0.0972	0.091	0.094	0.0787	0.0926	0.41	-0.3372	-0.3335	0.0891	0.092	-0.333	0.098	0.0722	0.0947	-0.3461
"TCGA-D3-A1Q5"	0.1106	0.4426	0.1005	0.1128	-0.416	-0.4181	0.5149	0.4839	-0.4181	-1.287	0.1233	0.4525	0.1391	0.1377	0.4946	0.1159	0.5011	-0.4181	0.1278	-0.4181	0.0964	0.1189	0.1019	0.14	0.5011	0.4426	0.1189	0.5111	-0.4731	0.1019	-0.4214	-0.401	0.5062	-0.4199	-0.4181	-0.0118	0.1405	0.0664	-0.4322	0.4426	0.1348	0.4426	-0.391	0.4426	-0.4394	-0.4128	-0.0118	0.1141	-0.4032	-1.3729	0.1403	-0.4217	0.4865	0.1245	0.1141	0.1141	0.5115	0.0919	0.1287	0.1272	0.4839	0.1217	0.1049	0.0983	-0.4046	0.1279	0.5202	-0.4217	0.4865	0.4525	0.1159	0.1341
"TCGA-D3-A1Q6"	-0.0619	0.1726	-0.0165	0.1869	-0.377	-0.0541	-0.3701	-0.0349	-0.0533	-0.3817	-0.0476	0.1726	0.2705	0.1371	-0.0349	0.1267	-0.0806	-0.0533	0.1356	-0.0533	-0.0272	0.1872	-0.0582	-0.0517	-0.0806	0.1726	0.1872	-0.3641	-0.0987	-0.0582	0.2111	-0.0418	0.2657	-0.385	-0.0533	-5e-04	-0.0534	-0.3935	-0.057	0.1726	-0.0482	0.1726	-0.0479	0.1726	0.2049	-0.377	-5e-04	-0.0427	-0.0453	-0.3626	-0.0108	0.2049	-0.0778	-0.0619	-0.0427	-0.0427	0.2393	-0.0621	0.1883	-0.0478	-0.0349	0.1444	-0.0585	-0.058	0.1408	0.1356	0.2707	0.2049	-0.0778	0.1168	0.1267	-0.0347
"TCGA-D3-A1Q7"	0.2376	-5e-04	0.0176	0.0229	-0.2884	-0.2924	0.0017	0.0202	-0.2924	-0.3048	0.0024	0.0028	0.0603	0.0102	0.0083	0.0189	0.0142	-0.2924	0.0104	-0.2924	0.0176	0.0105	0.0156	0.0024	0.0142	-7e-04	0.0105	0.0098	0.0075	0.0156	-0.2075	-0.0889	0.0021	0.2479	-0.2924	-0.0019	-0.005	-0.292	0.0073	5e-04	0.4537	-7e-04	-0.1036	-5e-04	0.0136	-0.2884	-0.0019	0.0117	-0.0889	-0.2793	0.0176	0.0217	0.0092	0.2557	0.0102	0.0117	0.0044	0.0156	0.0021	0.455	0.0202	0.0726	0.0109	0.0172	0.0036	0.0056	-0.0045	0.0136	0.0092	0.0028	0.0189	0.0101
"TCGA-D3-A1Q8"	0.1095	0.0915	-0.3456	0.1128	-0.3219	-0.3225	0.1185	0.1037	-0.308	-0.3107	-0.3157	0.0847	0.1209	0.1205	0.1037	0.1067	0.0955	-0.308	-0.3157	0.1119	-0.3462	0.1147	0.0677	-0.3217	0.0955	0.0761	0.1147	0.1149	0.1125	0.0793	0.1141	0.1194	0.1191	0.1224	-0.3098	0.0018	-0.3048	-0.3326	0.1057	0.0717	0.4402	0.0717	0.1268	0.0915	0.1156	-0.3219	0.0031	0.1103	0.1224	-0.3107	-0.2985	0.1042	0.0955	0.1095	0.0832	0.1103	0.1191	0.100096989661728	0.094	0.4113	0.1037	0.1106	0.0998	0.0852	-0.3229	-0.3052	0.1308	0.1156	0.0955	0.0716	0.1067	0.1054
"TCGA-D3-A1Q9"	-0.497	0.0716	0.2886	0.2702	-0.5091	1.2619	-0.332042545516737	1.14229381161103	-1.1146	-0.4847	-0.1092	0.1018	0.2737	-0.0379	0.2499	0.4437	0.2269	-1.1146	-0.0433	-1.1909	0.2276	0.2638	0.1817	-0.0693	0.2269	0.0716	0.2638	0.2462	0.149	0.1817	0.2369	-0.494	0.2579	-0.4812	-1.1146	-0.0038	0.2025	0.2435	0.2502	0.0716	-0.0879	0.0716	0.0015	0.0716	-0.0969	-1.3901186907192	0.002	-0.4147	-0.0532	-0.5096	0.2658	-0.0878	0.2269	-0.497	-0.4147	-0.4147	0.2368	0.2022	0.2591	-0.0879	1.0193	-0.0656	0.220529894891787	-0.0469	0.2415	-0.055	0.285	-0.0469	0.2269	0.1173	-0.0922	-0.4473
