"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-FI-A2EY"	0.5282	0.1734	0.6048	0.1667	0.5669	0.1839	-0.264	0.2165	0.2468	0.2142	-1.0232	0.2164	0.2265	0.5188	0.7308	0.7883	-0.2686	0.2468	-0.2019	-1.0194	0.2631	0.1375	-0.3066	-0.2926	-0.2686	0.1734	0.1375	0.5609	-0.2748	-0.3066	-0.2634	-0.1669	0.5013	0.1688	0.252525133399367	0.0422	-0.257	-0.2852	0.4979	0.1615	-0.0461	0.1615	0.219	0.1734	-0.1572	0.1981	0.0096	-0.2545	-0.1505	0.1913	0.2926	0.1676	-0.2686	0.5282	-0.3095	-0.2545	0.5491	1.6891	0.1299	0.5943	-0.1183	-1.004	-0.0973754397018848	0.1626	-0.9927	-0.1854	0.5637	0.4353	-0.2686	-0.3211	0.6962	0.2714
"TCGA-DF-A2KS"	0.126	0.2381	-0.3078	0.044	0.0027	0.2291	-0.3636	0.2998	0.0395	0.3024	-0.3304	0.2691	0.0932	-0.3478	0.3613	-0.3441	-0.3099	0.0395	-0.3285	-0.87	-0.3407	0.1813	-0.3426	0.0155	-0.3099	0.2843	-0.1137	-0.8424	0.4928	-0.3426	-0.3336	-0.229	-0.1894	0.324	0.0395	0.3178	-0.319	0.3024	-0.3024	0.2691	0.4851	0.2691	0.196	0.2381	0.1092	0.0027	-0.1921	0.091	0.0225	0.3024	-0.3078	0.0203	-0.3211	0.126	-0.0597	-0.0597	0.0532	-0.3275	0.3878	0.4855	0.2998	0.0363	-0.3268	0.0806	0.2988	-0.3242	-0.1837	0.0203	-0.3211	0.2608	-0.3441	0.2025
"TCGA-A5-A1OH"	0.2488	0.0247	0.3445	0.1862	-0.2588	0.2053	-0.0393	0.3786	0.0962	0.6778	-0.4147	0.7161	0.2268	0.0643	0.6456	0.0627	-0.0929	0.0962	-0.5114	0.1134	-0.2079	0.0673	-0.348373909830007	-0.3782	-0.0929	0.0247	0.0673	0.1317	-0.189	-0.1435	-0.5224	0.0393	-0.0223	-0.0432	0.0962	0.5531	-0.5297	-0.2049	0.3022	0.0247	0.2569	0.0247	0.2262	0.0247	-0.3999	-0.3634	0.0482	-0.0636	0.0386	-0.2498	0.3445	-0.1023	-0.0383	0.2488	-0.3937	-0.0759	-0.1345	0.482585885624891	-0.128	0.173	0.9322	-0.4927	0.133	-0.0679	-0.029	-0.5114	-0.1132	-0.4251	-0.3028	-0.2588	0.0627	-0.0958
"TCGA-AX-A2H7"	0.2393	0.268	-0.1891	-0.0772	-0.1696	-0.1637	-0.1937	-0.0815	-0.1795	-0.1784	-0.1434	0.2822	0.5872	-0.099	-0.0772	-0.0844	-0.1388	-0.1795	-0.1252	-0.1795	-0.1526	-0.0893	-0.1477	-0.1432	-0.1388	0.268	-0.0893	-0.1825	-0.0849	-0.1477	-0.1414	0.5481	-0.1439	0.1883	-0.1795	0.0468	-0.1975	-0.1735	-0.1655	0.2822	0.5436	0.2822	0.5421	0.268	-0.1444	-0.1696	0.0468	-0.1582	0.5622	-0.1656	-0.1891	-0.1306	-0.1388	0.2278	-0.1582	-0.1582	-0.1392	-0.1477	-0.1059	0.5586	-0.0815	0.6171	-0.1556	-0.1582	-0.1547	-0.1327	-0.156	-0.1444	-0.1388	0.2726	-0.0844	-0.1723
"TCGA-AX-A2HA"	0.3568	-0.0614	-0.0996	0.0224	-0.0508	-0.0595	-0.0595	-0.0441	-0.0621	-0.0593	-0.0603	-0.0614	0.0382	0.0181	-0.0441	0.0276	-0.0578	-0.0621	-0.0604	-0.0621	-0.0537	0.0127	-0.0605	-0.0688	-0.0578	-0.0614	0.0127	-0.0559	-0.0609	-0.0605	-0.0477	-0.0603	-0.0706	0.3453	-0.0621	0.0179	-0.0735	-0.0602	-0.0598	-0.0614	0.8121	-0.0614	-0.0646	-0.0614	-0.0652	-0.0508	0.0179	-0.0551	-0.0611	-0.0593	-0.0537	-0.0659	-0.064	0.3568	-0.0551	-0.0551	-0.0642	-0.0733	0.0196	0.7979	-0.0441	0.0459	-0.0516	-0.0559	-0.0545	-0.0604	-0.0682	-0.0652	-0.064	-0.0614	0.0276	-0.0692
"TCGA-A5-A2K4"	0.1377	-0.3807	0.1603	0.2004	0.0445	-0.3244	-0.0053	0.1741	-0.3244	0.0437	0.0798	-0.0753	0.2244	-0.0355	0.194	-0.2233	-0.3851	-0.3244	0.157	-0.3403	0.1631	0.0446	-0.3825	0.1029	-0.1091	0.2854	0.0446	0.0158	0.0469	-0.3825	-0.3533	0.1778	0.1338	0.1523	-0.3244	0.035	-0.3458	0.1399	0.0188	0.2854	0.1904	0.2854	0.1646	-0.3807	-0.3886	0.0391	0.035	0.1734	0.1778	0.0268	0.1732	-0.3886	-0.3851	0.1623	0.1278	0.1364	0.1548	0.1636	-0.0011	0.1639	0.2374	0.5193	0.1573	0.1107	0.0108	0.1651	0.1224	-0.3886	-0.3851	0.1054	-0.2233	0.1466
"TCGA-EY-A2OM"	-0.0065	0.0042	-0.03	-0.0069	-0.0068	-0.0072	-0.0083	-0.0052	-0.0097	-0.0068	-0.0026	-0.0043	0.3868	-4e-04	-0.0042	-0.0086	-0.0026	-0.0097	-0.0063	-0.0097	-0.0091	-0.0074	-0.0019	-0.0034	-0.0026	0.0042	-0.0074	-0.0083	-0.0058	-0.0019	-0.0099	-8e-04	-0.0052	-0.0033	-0.0097	0.0175	-0.008	-0.0136	-0.003	-0.0041	-0.0042	-0.0041	-0.0047	0.0042	-0.0072	-0.0068	0.0175	0.0013	7e-04	-0.0081	-0.03	-0.0124	-0.0026	-0.0065	0.0013	0.0013	-0.0313	0.00212481966615453	-0.0062	-3e-04	-0.0052	0.3738	-0.0039	0.0043	-0.0089	-0.0063	-0.0052	-0.0189	-0.0026	-0.0043	-0.0086	2e-04
"TCGA-EY-A2ON"	0.2547	-0.0371	-0.1161	-0.0208	-0.0539	-0.0351	-0.4233	0.458	-0.0064	-0.0539	-0.068	4e-04	0.2626	-0.0562	-0.0463	-0.0524	-0.3595	-0.0064	-0.3786	4e-04	0.6749	-0.0146	0.0313	-0.0617	-0.3595	-0.0286	-0.0146	0.4667	0.1469	0.0313	-0.0395	-0.0369	-0.405	0.1949	-0.0064	0.3745	-0.0846	0.4588	0.2357	-0.0349	0.700878122645131	-0.0349	0.2451	-0.0371	0.2952	-0.0539	-0.0768	0.5323	-0.0369	-0.0383	-0.1161	-0.0265	-0.3595	0.2547	-0.3833	0.1617	0.2143	0.1061	-0.0431	0.4676	0.3904	0.2274	0.2021	0.3591	0.8406	-0.3668	-0.4439	-0.0115	-0.3595	-0.3933	-0.0524	0.1684
"TCGA-E6-A2P8"	0.0051	5e-04	0.0089	-0.0044	0.0031	0.0046	-0.0055	-0.0053	0.0018	0.0031	-0.0016	0.0066	-0.003	0.036	-0.0061	0.0067	0.0049	0.0018	-0.004	-0.0073	-3e-04	-0.0027	-0.0079	0.0043	0.0049	5e-04	-0.0027	0.0024	-0.0358	-0.0079	-0.0042	0.0035	-9e-04	-6e-04	0.0018	0.001	0.0038	-0.0127	-0.001	0.0066	-0.0029	0.0066	0.0052	5e-04	-0.0203	0.0031	0.001	0.0118	-0.0013	0.0031	0.0089	0.025	0.0049	0.0051	0.0067	0.0118	0.0106	0.0042	0.0124	-0.0067	-0.0053	-0.0146	-0.0096	0.0234	0.0026	0.0018	0.0056	1e-04	0.0049	0.0027	0.0067	0.0212
"TCGA-E6-A2P9"	-0.0709	-0.0875	-0.1387	-0.0836	0.4858	-0.073	-0.0717	-0.0793	-0.0614	0.506	-0.0471	-0.0764	-0.0769	-0.0579	-0.0449	-0.0752	-0.0658	-0.0614	-0.0679	-0.0846	-0.0668	-0.0791	-0.0724	-0.0603	-0.0658	-0.0875	-0.0791	-0.0543	-0.1248	-0.0724	-0.0607	-0.0616	-0.0663	-0.0383	-0.0614	0.0045	-0.0588	0.4922	-0.0838	-0.0875	0.8678	-0.0875	-0.0598	-0.0875	-0.0806	0.4917	0.0045	-0.0638	-0.0616	0.496	-0.1387	-0.0836	-0.0658	-0.0709	-0.0841	-0.086	-0.0757	-0.0983	-0.0573	0.869	-0.0793	-0.0741	-0.0927	-0.113	-0.0399	-0.0679	-0.0663	-0.0806	-0.0658	-0.0576	-0.0752	-0.0638
