"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-A6-2671"	-0.48836	-0.49782	-0.38719	-0.34789	-0.4976	-0.24728	-0.36127	-0.6625	0.074582	0.2578	-0.14938	-0.67746	-0.22479	-0.01257	-0.42629	-0.24908	-0.18092	-0.53785	-0.37865	0.034282	0.16422	-0.51429	0.12469	0.56557	-0.55276	-0.31489	-0.21431	0.60043	-0.3676	1.283	0.51666	-0.68872	0.6218	0.1335	-1.8203	-0.57328	-0.13753	-0.42711	0.6466	-0.54897	-0.19664	-0.2361	-0.32019	-0.11787	-0.17278	0.23627	-0.019041	-0.096615	0.18336	-0.032106	-0.010036	0.4442	0.02583	-0.35799	0.092318	-0.16697	0.35498	-0.23754	0.18753	-0.0018774	0.091693	0.52395	0.64589	0.56437	-0.55225	-0.29225	0.5212	0.18617	-0.046264	0.196	-0.25061	2.9137	3.4096	-0.14092	-0.3374	-0.44586
"TCGA-A6-2684"	-0.62895	-0.39784	-0.19613	-0.77299	-0.225	-0.21486	-0.23468	-0.51776	-0.065894	0.1617	0.1263	-0.39483	-0.12214	0.082729	-0.14641	0.21005	-0.037406	-1.4261	-0.59501	-0.044651	0.1586	-0.18661	0.050577	0.73575	-0.55957	0.079096	-0.061846	0.50385	-0.11167	1.0156	1.0187	0.44062	0.25631	0.13284	-1.907	-0.51783	-0.24508	-0.57367	0.9414	-0.23321	-0.23062	-0.67963	-0.75111	-0.82157	-0.37529	-0.24841	-0.42129	0.070473	0.091486	-0.0096017	0.34237	0.6453	0.11092	-0.67146	0.11661	0.058016	0.25284	0.039253	0.084966	-0.047329	0.07865	0.27075	0.6332	0.34914	-0.62312	-0.13643	0.12089	0.055731	-0.14175	-0.20789	-0.53555	3.2634	3.0749	0.036364	0.39889	-0.41708
"TCGA-AA-3525"	-0.55359	-0.42757	-0.067135	-0.62995	1.1574	-0.28328	-0.70464	-0.094763	0.059648	-0.080713	0.13989	-0.38242	-0.31445	0.074698	-0.15858	0.002411	0.16813	-0.59149	0.76119	0.15772	0.065807	-0.2804	-0.044114	0.39241	-1.0936	0.064097	-0.035708	-0.84427	-0.27516	-0.3699	2.7249	0.43016	1.0096	1.0611	-2.1304	-0.46871	-0.27645	-0.81562	0.31355	-0.4191	-0.2047	-0.60928	0.0020921	-0.33893	-0.30178	0.18452	-0.15962	0.024563	0.078023	-0.053032	0.037348	0.19074	0.39232	0.18318	0.0075721	0.127	0.74998	0.010212	0.48936	0.10604	0.31725	1.2626	1.0603	-0.27261	-0.56917	-0.1715	0.44981	0.12555	-0.16606	0.045515	0.44382	0.61986	2.2837	0.066999	0.23301	-0.16607
"TCGA-AA-3532"	-0.031209	0.004605	-0.036647	0.035472	1.5178	-0.24518	-0.19708	0.048413	-0.26726	0.18746	0.84438	-0.23587	-0.29009	-0.21519	-0.25782	0.6424	0.27155	-0.81428	-0.71276	0.10574	0.092428	-0.44711	-0.095251	0.003406	-0.16334	0.016161	-0.31575	-0.5036	-0.11154	-0.34219	0.90805	0.31377	2.1032	0.86681	-2.1538	-0.70013	-0.30014	-0.78479	0.34273	-0.91824	0.85355	0.035476	0.7741	0.81634	0.05618	0.2387	0.39163	-0.046505	0.29775	-0.075189	0.24773	1.2826	0.63574	0.73182	0.096249	0.45239	0.82216	-0.19988	0.22025	-0.082067	0.61436	1.8012	0.97496	-0.19952	-0.31176	-0.1459	0.28881	0.02359	0.74883	0.87091	1.0507	1.2184	2.2017	-0.033732	0.35794	0.0061668
"TCGA-AA-3510"	-0.38734	-0.25105	0.024223	-0.62715	1.0268	-0.29375	-0.087334	-0.12475	0.11706	-0.25698	0.49522	-0.55963	-0.52351	-0.0034053	-0.12719	0.025047	-0.23248	0.14079	0.51292	-0.059241	0.10113	0.040901	-0.0061647	-0.11392	-0.091856	-0.0013228	-0.1525	-0.93994	-0.20875	-0.39287	2.9902	1.3648	2.032	0.19824	-2.0949	-0.57021	-0.22996	-0.90583	0.16102	-0.36568	-0.39756	-0.93194	-0.28356	-0.68623	-0.43034	-0.42973	0.90199	-0.10143	-0.073274	-0.0021665	-0.20984	-0.033147	-0.15318	-0.25213	-0.0040835	0.031399	1.0203	-0.080105	0.45569	-0.084718	0.06553	0.9203	0.85221	-0.2081	0.60649	-0.1435	0.096976	-0.072999	-0.26494	-0.14576	0.034029	0.72283	1.8628	-0.079608	0.99301	-0.026752
"TCGA-AA-3672"	-0.48708	-0.73993	-0.085707	-0.11883	2.1551	-0.308	-0.38312	0.064529	-0.021942	0.16648	0.55471	0.17573	-0.013892	0.073287	-0.43968	0.75895	0.24205	-0.6304	-1.2982	0.20161	0.5024	0.10406	-0.12782	-0.0053427	-0.68612	0.6661	0.017042	0.015637	-0.17673	0.72771	1.7412	0.68029	1.7558	0.41019	-2.2344	-0.64766	-0.30815	-0.98127	0.15134	-0.09239	-0.58457	-1.0642	0.34177	-0.040532	-0.19956	-0.265	0.49163	-0.28005	-0.34249	-0.070128	-0.037869	0.41037	1.1315	0.1722	-0.25835	0.49652	-0.19363	0.15575	-0.066128	-0.053615	-0.1328	1.3117	0.26218	-0.1676	-0.31546	-0.08591	0.23569	0.065518	0.18086	0.16133	0.12924	0.94484	1.9073	0.10103	1.5141	0.03177
"TCGA-AA-3712"	-0.45832	-0.38257	0.033052	-0.39165	0.37294	-0.36571	-0.54838	-0.093974	-0.0088522	0.1335	0.94504	-0.11111	-0.10995	0.060488	-0.088312	0.59219	0.3214	-0.074937	-0.29472	-0.038648	0.43437	0.12367	0.0041072	0.10347	-0.30081	0.029437	0.13261	-0.48052	-0.46744	0.068863	2.5779	0.98581	1.8858	0.16414	-2.0464	-0.45497	-0.274	-0.86343	1.1183	-0.36243	-0.93599	-0.98266	-0.57154	-0.83301	-0.47123	-0.29742	0.17862	0.036737	0.01815	-0.035559	-0.094225	-0.25306	-0.044679	-0.0091256	0.13233	-0.042371	1.2858	0.21483	0.59208	0.029587	0.25604	0.60615	0.57998	-0.37578	-0.32598	-0.31536	0.020287	0.090037	-0.27759	-0.27637	-0.15796	0.94673	2.2275	-0.016709	0.28747	0.18909
"TCGA-AA-A02Y"	-0.20571	-0.14047	-0.083778	-0.52398	1.756	-0.25806	-0.44826	0.1183	-0.044224	-0.066018	-0.18892	-0.68037	-0.29017	0.024288	-0.062852	0.027865	0.042019	-0.60394	-0.33131	-0.042513	0.0254	-0.27096	0.074404	-0.019784	-0.45739	-0.04389	-0.16091	-0.61386	-0.14393	-0.042581	2.6928	0.99855	-0.12432	-0.21524	-1.7599	-0.54353	-0.24156	-0.68446	0.63496	-0.23146	-0.27127	-0.76182	-0.36079	-0.63544	-0.30917	-0.24893	0.01623	0.018136	0.11421	0.031068	-0.12011	0.38997	0.7304	-0.10912	0.015132	0.17775	0.39006	0.035029	0.17203	-0.0046973	0.067464	0.13322	0.79058	-0.17034	-0.20052	-0.12672	0.15617	0.14747	0.51622	0.66353	0.0015911	0.57823	3.018	0.10096	-0.41848	-0.22719
"TCGA-AA-A02O"	-0.32652	0.26754	-0.061987	-0.61363	0.24039	-0.29816	-0.65633	1.1966	0.15275	-0.015902	0.5998	-0.059999	-0.12929	0.099242	0.22019	0.25606	0.4056	-0.29546	-0.25728	-0.10386	0.059937	-0.77439	0.062249	0.09985	-0.31166	-0.080893	0.015053	-0.91696	-0.502	-0.85194	2.0224	0.97775	1.8553	-0.3525	-2.0034	-0.59628	-0.27206	-0.85425	1.0412	-0.29127	-0.85914	-0.62431	-0.40166	-0.91651	-0.32913	-0.38233	0.158	0.080255	0.15585	-0.065176	-0.30772	-0.050484	0.49381	-0.2693	-0.070451	0.080009	0.77582	0.11031	1.4259	-0.00056869	-0.0794	0.33674	0.813	-0.39954	0.12812	-0.19966	0.096112	0.00611	-0.10809	-0.32519	-0.086854	-0.5386	-0.1947	-0.13087	0.34313	-0.11612
"TCGA-AA-A02H"	0.052252	-0.54755	0.14269	-0.48091	0.14224	-0.089076	-0.3226	0.13486	0.16018	-0.27777	-0.57384	-0.50397	-0.55897	-0.11748	-0.045412	-0.28722	-0.07648	0.30458	0.029246	-0.075187	0.1074	-0.079242	-0.06481	0.18782	-0.5158	-0.33226	-0.20224	-0.877	0.13748	-0.43865	2.123	1.3186	1.894	-0.188	-1.2293	-0.52438	-0.082662	-0.84289	0.55465	-0.096362	-0.48458	-0.87526	-0.34934	-0.63684	-0.14903	-0.38818	-0.30295	0.21363	0.41953	-0.043353	-0.11675	-0.20074	-0.18259	0.029725	0.18378	0.099747	1.0811	0.12047	0.39593	0.032642	0.40299	0.32842	0.72436	-0.3506	0.10403	-0.29086	0.27551	0.11866	0.045678	-0.1931	-0.59529	1.1598	1.6978	-0.097212	-0.84121	0.3035
