"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-44-2657"	0.045677	0.1049	-0.14803	0.58536	-0.10983	0.55251	0.87675	0.074083	-0.15792	0.47821	-0.76985	-0.3349	-0.31258	-0.058749	0.49338	-0.52586	-0.77049	-0.53283	-0.24826	0.022908	0.20574	-0.26741	0.34216	-0.2046	-0.5201	-0.16689	-0.080472	-0.086444	0.52376	0.046215	-0.7273	-0.49855	-0.34876	-0.24676	-1.526	-0.22213	-0.37541	-0.1327	0.29471	0.11194	-0.097227	-0.074816	-0.33761	-0.6948	0.41962	0.09265	0.065011	0.11691	0.1404	0.10717	0.17052	1.6879	0.89553	1.1347	0.34968	0.42124	1.3508	0.57388	1.1994	0.39165	-0.061413	1.3588	0.9507	-0.147	0.31653	0.045749	0.26631	0.38196	1.1984	0.85488	-0.24934	2.3943	2.6448	0.035966	-1.686	-0.54507
"TCGA-64-1676"	0.63781	0.04952	-0.3243	-0.38632	0.060304	0.22072	-0.28128	-0.30592	0.10726	0.049401	-0.79598	-0.4397	-0.0013628	-0.069969	0.35721	-0.42552	-0.58561	-0.58776	0.10068	0.0055613	-0.033611	-0.17702	0.041512	-0.44408	-0.053852	0.0024067	-0.26125	0.69442	0.14147	-0.13968	-0.49717	-0.20042	0.58146	0.34441	-1.0225	-0.11681	-0.40773	-0.50999	-0.46836	-0.11251	-0.47353	-0.75286	-0.2613	-0.28688	-0.10563	-0.30278	0.11741	0.025774	0.079378	0.018663	-0.15286	0.60373	0.10102	0.057553	0.061359	0.23455	0.36306	0.77358	-0.062462	0.21563	-0.059251	-0.10658	-0.72504	-0.11813	-0.46563	0.089159	-0.17883	-0.012206	0.15562	0.011748	-0.76844	0.67343	2.511	-0.056431	-1.504	-0.0048211
"TCGA-44-3919"	-0.43884	-0.30768	-0.41263	-0.46455	-0.36134	0.52099	-0.21864	-0.073541	-0.13276	0.21785	-1.0306	-0.23563	-0.1832	-0.28189	-0.13344	-0.37833	-0.56998	-0.70846	-0.1824	-0.072884	-0.27025	-0.055942	-0.11807	-0.52054	-0.47333	-0.2155	-0.35446	0.092063	-0.24191	0.045874	-0.59211	-0.08777	0.54113	0.52544	-1.3229	-0.36539	-0.33444	-0.5289	1.836	-0.36943	0.43921	-0.19714	0.50915	0.46649	0.26113	0.27753	0.08301	0.91357	0.42341	0.044824	0.12586	1.4507	0.55968	0.91192	0.30545	0.18278	3.1087	0.61755	1.7521	0.1811	0.19809	0.98918	0.62024	-0.2115	0.63458	-0.14003	0.36831	0.49963	1.0861	0.97889	0.44631	3.7667	2.7632	0.037293	-1.5092	-0.22544
"TCGA-55-1592"	-0.33262	0.023332	-0.35134	0.064686	-0.6456	0.43131	-0.45383	-0.26421	-0.085551	0.17847	-0.86789	-0.46471	-0.36388	-0.25878	-0.29754	-0.60265	-0.70889	-0.3157	-0.15782	-0.069076	0.075668	0.12202	0.00755	-0.47672	-0.25355	0.0053142	-0.58408	0.027312	-0.042625	0.54703	0.42851	0.46762	0.68855	1.4854	-1.6035	-0.43916	-0.4052	-0.057365	1.172	-0.15551	0.17806	-0.2042	0.55239	0.29777	0.20674	0.25337	-0.23971	0.48236	0.18828	-0.017914	0.040528	0.90048	0.2323	0.45231	0.096325	0.13532	1.5496	0.22887	1.3017	0.26981	-0.18757	1.1519	0.76591	-0.034797	0.89329	0.28341	-0.23305	0.40521	1.1367	1.2949	0.04982	4.1239	3.4084	-0.073907	-2.9083	-0.83066
"TCGA-38-4627"	2.015	-0.12626	-0.06048	-0.30627	-0.61418	0.4773	-0.15757	0.48524	-0.19348	0.47882	-1.4723	-0.48526	0.29072	0.081705	-0.44015	-0.97542	-0.89941	-0.65019	-0.63478	-0.16549	0.073769	-0.4537	0.18931	-0.41335	-0.52422	0.2989	-0.33635	1.3423	0.30315	1.0707	-0.886	-0.67406	-0.41622	1.1966	-1.5151	0.13488	-0.30443	0.32418	1.4376	0.076077	-0.41091	-0.21069	-0.30881	-0.32907	0.040876	-0.063465	0.25356	1.1286	0.0055991	0.14259	0.084732	1.8067	0.70353	1.0055	-0.10421	0.025032	1.8311	0.93088	1.1648	0.20872	-0.33797	0.44572	0.5377	-0.23534	-0.33573	0.045629	-0.46538	-0.10867	0.071358	0.058905	0.36507	1.8652	2.8092	-0.0070004	-2.0407	-1.1403
"TCGA-49-4507"	0.55914	0.11744	-0.20783	1.0534	1.7939	0.43989	-0.028219	0.069516	0.11997	0.1269	0.77057	-0.1935	-0.18885	-0.13052	0.28085	0.19712	0.25973	-0.45036	-0.31682	0.038429	-0.11277	-0.12005	0.036844	-0.15508	-0.384	0.10506	-0.20251	-0.12	-0.029543	0.080561	0.11089	-0.072405	-0.088966	1.1339	-1.7693	-0.29059	-0.39794	-0.44239	0.84449	-0.2011	-0.4858	-0.17636	-0.16222	-0.33267	0.034178	-0.48885	0.094457	0.13679	-0.081857	0.0040627	-0.027659	-0.22822	0.17875	0.84975	0.18554	0.33576	0.72457	0.75914	0.2663	0.2571	0.10454	0.063051	-0.17486	-0.036279	0.41296	0.25742	-0.36177	-0.10528	0.29799	0.03513	-0.68907	2.0433	1.4311	0.047074	-0.77037	-0.41853
"TCGA-05-4405"	-0.1932	0.070492	-0.32252	-0.12299	-0.97529	0.62898	-0.013292	-0.15551	0.036057	0.026225	-0.95332	-0.50262	-0.42874	-0.17478	-0.12577	-0.53075	-0.74856	0.24127	-0.30226	-0.052175	0.39672	0.21425	-0.10541	0.59937	-0.43354	-0.23609	-0.20232	-0.091481	-0.33339	0.0309	0.23898	0.32635	0.61583	-0.6754	-1.9327	-0.29976	-0.43641	-0.61677	-0.013635	-0.50599	0.27347	0.0097019	0.57356	0.39976	0.39979	0.30506	0.52927	0.089416	0.43691	0.14404	-0.053433	1.7459	0.70062	1.1874	0.47521	0.40135	1.8913	0.63538	1.4408	0.13535	-0.2369	1.1543	1.0638	-0.28949	0.39119	-0.12505	-0.21937	0.29766	0.20894	0.044265	1.3381	0.52348	1.3405	0.066057	-3.0489	-0.3244
"TCGA-05-4430"	-0.37023	-0.16717	-0.25546	-0.1183	-0.27602	0.22217	-0.2864	-0.036404	-0.039791	0.12458	-0.82844	-0.42859	-0.49147	-0.3141	-0.30828	-0.48069	-0.6677	-0.31852	-0.18989	-0.071263	-0.28432	-0.034079	-0.085094	-0.56675	-0.20954	-0.16004	-0.37718	0.2406	-0.30356	-0.056413	-0.14716	0.33149	0.71588	0.15175	-1.3936	-0.38586	-0.41069	-0.50511	1.3815	-0.26745	0.5046	0.17566	0.56518	0.5405	0.22935	0.44701	0.74572	0.14433	0.39902	0.16715	-0.092461	1.6075	0.73231	0.55596	0.56067	0.24952	1.0178	0.72814	1.5023	0.073709	-0.21713	1.2089	1.1006	-0.15161	0.48248	-0.09011	-0.033907	0.26107	0.42532	0.48178	0.442	3.0267	2.33	-0.00023658	-2.8076	-0.37782
"TCGA-50-5072"	0.19149	0.13196	-0.031272	0.028484	-0.14077	-0.13529	-0.31813	-0.053385	-0.070655	0.18902	1.3978	0.20893	-0.1024	-0.16871	-0.058492	-0.34234	0.30978	0.014585	-0.17444	0.026113	-0.0060144	0.15893	0.11193	-1.0057	-0.46235	0.17114	0.078665	0.33407	-0.045528	0.17354	1.8477	0.83679	0.42699	0.86953	-1.9102	-0.18926	-0.40569	-0.4097	0.52242	-0.13442	-0.94773	-0.77972	-0.94501	-0.95094	-0.063842	-0.41606	0.16315	0.39116	0.061831	0.056805	-0.055929	-0.40857	0.036465	0.70905	0.00051781	-0.050575	0.37421	1.0772	0.43324	0.18705	-0.21375	0.50699	0.088022	-0.30957	-0.35703	0.0016775	-0.30434	-0.32093	-0.42067	-0.34446	0.062449	2.3389	2.2568	0.40341	-2.6107	-0.157
"TCGA-73-4658"	-0.22305	0.33626	0.019644	-0.40429	-0.59704	0.56846	0.19307	0.37818	-0.16791	-0.21586	-1.0409	-0.26804	-0.30117	-0.11418	-0.18943	-0.79567	-0.58562	-0.69134	-0.39631	-0.2541	-0.019951	-0.31347	0.31007	-0.69387	-0.46354	-0.24752	-0.22782	0.39248	0.13337	0.6712	-0.32636	-0.27153	-0.14396	1.1458	-1.6298	-0.18423	-0.49423	-0.42874	-0.44784	-0.23497	-0.25445	-1.0879	-0.65014	-0.72997	0.024813	-0.26818	0.46846	-0.058345	0.3312	0.089911	-0.092996	1.5404	0.60525	0.44157	-0.27442	0.64483	0.34813	1.1717	0.58613	0.22167	0.32203	0.41237	0.58433	-0.31087	-0.60481	0.019341	-0.57812	-0.1318	1.1557	1.241	-0.4822	2.9733	2.1702	0.58879	-3.0831	-0.68774
