"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"BCL2.1"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"P27PT157.1"	"P27PT198.1"	"PRAS40PT246"	"TUBERINPT1462"	"INPP4B.1"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"BETACATENIN.1"	"GAPDH"	"RBM15"	"CAVEOLIN1.1"	"BETACATENIN.2"	"RBM15.1"	"ECADHERIN.1"	"CLAUDIN7.1"
"TCGA-21-1076"	0.312	0.44511	0.013883	0.0066307	-0.37887	-0.16937	0.11507	0.29612	-0.09954	0.045331	-0.16005	0.5486	0.048577	-0.19286	-0.20745	-0.084739	-0.23235	-0.041915	-0.15904	-0.061382	-0.22853	0.13168	-0.020804	-0.10285	-0.19807	-0.085387	0.02703	0.18308	-0.25533	0.15359	0.80536	0.54293	0.50852	0.088165	-1.7621	-0.51036	-0.44739	-0.53435	0.41338	-0.072623	0.11507	-0.89529	-0.50576	-0.87142	-0.87096	-0.19286	-0.20745	-0.30619	-0.60024	0.41338	0.1595	0.55442	-0.30355	-0.043044	-0.25041	-0.12347	-0.024218	-0.57276	-0.36326	0.032361	-0.26319	0.32015	-0.011583	-0.024713	-0.56947	-0.32822	-0.95046	-0.27893	-1.2114	-0.14138	-0.72587	-0.18425	-1.1519	-0.92986	-1.3067	2.6746	2.028	0.27842	0.50852	-1.9928	-0.65827	2.6746	0.50852	-0.65827	0.54293	0.80536
"TCGA-21-1080"	0.36314	-0.47387	0.24324	0.66682	1.4449	0.033965	-0.47803	-0.045936	0.28286	-0.084872	0.082025	0.056028	-0.13678	-0.22036	-0.28283	0.3649	-0.0035792	-1.0282	-0.3845	-0.07612	-0.0021951	0.46164	0.07522	0.71277	0.019252	-0.17273	0.035321	0.3205	0.47171	-0.029015	-0.30435	0.34252	0.48834	1.1018	-1.7731	-0.29713	-0.45327	0.041289	-0.52931	-0.21287	-0.47803	-0.74504	-0.80056	-0.24034	-0.51843	-0.22036	-0.28283	-0.059964	-0.38913	-0.52931	0.23368	0.77363	-0.14594	0.02886	-0.23679	-0.30099	-0.048241	-0.0032476	-0.38481	-0.15718	0.88123	0.6528	0.36008	0.12373	-0.36146	0.27225	-0.50612	-0.20263	-0.022789	0.11743	-0.32414	-0.2181	-0.57362	-0.21256	-0.70019	2.3977	1.165	0.049414	0.48834	0.33573	0.10622	2.3977	0.48834	0.10622	0.34252	-0.30435
"TCGA-34-2608"	0.4514	0.10926	0.06311	0.14801	-0.31748	0.44616	0.0054503	0.15849	-0.10089	0.031676	-1.0796	-0.51176	-0.64804	-0.40799	-0.053011	-0.68738	-0.52303	-0.022465	-0.0041752	-0.14314	-0.071109	0.15644	-0.0059084	-0.43291	-0.2055	-0.3144	-0.31951	0.65468	0.40146	0.11763	-0.55483	0.11482	0.6373	0.74801	-0.8104	-0.38001	-0.32334	-0.5111	0.10395	0.11306	0.0054503	-0.64887	-0.50916	-0.28176	-0.1992	-0.40799	-0.053011	-0.15054	-0.48962	0.10395	0.41952	0.11286	-0.28058	-0.030422	-0.18921	-0.55363	-0.020909	0.12558	-0.20358	0.10438	0.41633	0.38014	0.03031	-0.11573	-0.51114	0.046292	-0.95513	-0.12313	-0.38921	0.10822	-0.34217	-0.31779	-0.23201	-0.034063	-1.1026	2.5693	1.3005	0.12302	0.6373	-2.2018	-0.49301	2.5693	0.6373	-0.49301	0.11482	-0.55483
"TCGA-60-2698"	0.86735	0.24658	0.35519	-0.091742	-0.44199	0.52071	-1.0441	0.63486	-0.11452	0.49492	0.89866	0.40022	-0.13908	0.15073	0.26461	0.70178	0.43045	-0.18683	-1.74	0.20427	0.10178	0.058711	-0.0035286	-1.0956	-0.62186	0.06735	-0.24536	1.1155	0.4487	0.40012	0.93812	1.3968	1.5999	2.8822	-1.8331	0.026736	-0.46742	-0.68125	-0.36261	-0.22754	-1.0441	-0.56653	-0.17628	-0.32128	0.0024406	0.15073	0.26461	0.22659	-0.53846	-0.36261	-0.75844	0.33543	0.30158	0.091261	-0.0046165	0.37641	0.41892	-0.079392	-0.38299	0.88235	3.1841	1.4012	2.0602	0.23716	-0.0418	1.318	-0.030662	-0.024701	-0.087191	0.049288	-0.34142	-0.52881	-0.53744	-0.22012	0.15027	2.8084	-0.091148	0.43423	1.5999	-0.46665	-0.55528	2.8084	1.5999	-0.55528	1.3968	0.93812
"TCGA-60-2712"	0.75987	-0.059607	0.33803	0.80631	0.75208	0.28007	1.5816	0.1023	0.051058	0.24542	-0.009167	0.02686	-0.36361	-0.3211	0.47532	-0.59158	0.0085664	-0.38414	0.13762	0.043534	0.43029	0.40837	0.26951	-0.27198	0.075419	-0.15283	-0.24064	0.37797	1.2204	0.1896	-0.67962	-0.2065	0.12492	1.2426	-0.39679	-0.29427	-0.3126	-0.29295	-0.2955	0.096165	1.5816	-0.25359	-0.6558	0.18146	0.087665	-0.3211	0.47532	0.0085117	-0.24547	-0.2955	0.51422	0.37194	0.086607	0.087887	-0.22063	0.39033	0.31248	0.073689	0.54833	0.13135	0.32664	0.92472	0.83847	0.3217	-0.43876	1.16	0.14952	0.050813	-0.056973	0.17361	-0.20901	-0.12793	-0.28729	0.35906	-0.056527	1.8629	1.8678	0.38738	0.12492	-2.9549	-0.17231	1.8629	0.12492	-0.17231	-0.2065	-0.67962
"TCGA-60-2725"	0.30034	0.25553	0.14154	0.37597	0.47497	0.11284	1.1176	0.15884	0.080632	0.29204	0.13791	-0.48497	-0.34183	-0.23825	0.080059	-0.10072	-0.14008	-0.38201	-0.3461	-0.024254	0.45358	-0.17542	0.019862	-0.78185	-0.27974	-0.068669	-0.10424	0.26523	0.64767	-0.095721	-0.5099	-0.30622	0.31494	0.45887	-1.5166	-0.3602	-0.36741	-0.33767	-0.06308	-0.0685	1.1176	-0.10304	-0.11064	0.19459	0.1531	-0.23825	0.080059	0.068044	-0.23191	-0.06308	0.52489	0.046722	0.20138	0.11397	0.25883	1.2193	0.64343	0.76013	-0.095906	0.09498	0.66681	0.83525	0.84456	0.21629	-0.12477	1.027	0.73922	-0.10838	-0.31923	-0.043421	-0.2802	-0.021037	-0.048535	-0.015368	-0.06147	3.3251	2.5658	0.50395	0.31494	-1.5837	-0.8208	3.3251	0.31494	-0.8208	-0.30622	-0.5099
"TCGA-66-2768"	-0.098112	1.2536	-0.18702	-0.061081	1.5073	-0.085077	-0.44192	0.38806	-0.021084	0.14974	0.35103	-0.080438	-0.23893	-0.17121	-0.48908	0.13487	-0.07982	-1.948	-1.326	-0.16065	0.067515	-0.62073	0.05165	-0.52902	-1.3518	0.11075	0.233	-0.020498	0.12818	0.080744	0.2794	-1.9183	-1.7187	2.3629	-1.8787	-0.44638	-0.43645	-0.66971	-0.30828	0.11895	-0.44192	-1.5263	-0.72874	-0.82884	-1.3617	-0.17121	-0.48908	-0.2261	-0.55682	-0.30828	-0.086386	0.37372	-0.49212	0.2791	-0.084598	-0.14172	0.55898	0.7877	-0.63562	0.050255	1.1155	0.6096	0.82485	0.15322	0.097843	1.2951	0.79035	0.10668	0.40244	0.5665	-0.41199	-0.096073	-0.85545	-0.35343	-0.4492	2.0823	-1.3917	0.19419	-1.7187	-1.5597	-1.0509	2.0823	-1.7187	-1.0509	-1.9183	0.2794
"TCGA-33-4547"	0.93668	0.16934	0.35403	-0.291	0.30474	0.21957	0.074569	0.38063	0.03296	0.32467	-0.64965	-0.40202	-0.0034841	0.32763	-0.089578	-0.085413	-0.64628	-0.81826	-0.54622	0.057852	0.57819	-0.24986	0.20286	-0.77303	-0.28424	0.0557	-0.18283	1.2995	0.60594	0.54597	0.17225	-0.028977	-0.46056	2.15	-1.549	-0.19851	-0.39756	-0.31224	0.14479	0.010731	0.074569	-0.48329	-0.049069	-0.038113	-0.00064639	0.32763	-0.089578	0.083811	-0.042104	0.14479	-0.0087328	0.49858	-0.2953	0.31845	0.028916	0.73183	0.73267	1.0118	-0.15892	0.32337	0.35164	1.4782	1.2001	0.36209	-0.17241	1.0695	0.35145	0.13227	1.1676	0.52905	0.030263	-0.10151	-0.040992	-0.14237	-0.29625	1.9418	3.3686	0.25995	-0.46056	-2.2404	-1.3662	1.9418	-0.46056	-1.3662	-0.028977	0.17225
"TCGA-66-2785"	0.42436	-0.21005	-0.04517	0.94004	1.4237	0.1427	-0.26776	0.094758	0.32697	0.22359	-0.025395	-0.35254	-0.47286	-0.34599	0.044493	-0.40646	0.5446	-0.27865	-0.15577	0.054547	0.51439	-0.070381	0.058958	-1.1518	-0.36268	-0.080754	-0.21561	0.42724	0.37424	-0.38194	0.067781	1.541	1.3238	1.1162	-0.37711	-0.2162	-0.33339	0.26992	0.12843	0.8072	-0.26776	0.059269	-0.24739	0.31191	-0.036878	-0.34599	0.044493	0.10802	-0.22436	0.12843	0.35039	0.063984	-0.20663	0.069604	-0.26044	-0.40538	-0.014981	-0.25052	0.02366	-0.14563	0.41572	0.86781	0.84712	0.22031	-0.41546	1.1736	0.69645	-0.1897	0.032338	-0.14235	-0.062037	0.016487	-0.0672	0.34305	0.1736	-0.53858	0.83275	0.39537	1.3238	0.20375	-0.53073	-0.53858	1.3238	-0.53073	1.541	0.067781
"TCGA-37-3792"	1.6851	1.3507	0.28709	1.1419	1.6336	0.062041	0.10241	1.2111	0.17103	0.30028	1.4384	1.1064	-0.093038	-0.17092	-0.58297	0.6996	0.73556	0.16594	-0.61084	0.31105	0.18231	-0.36835	0.14883	-0.46942	-0.97926	0.054215	0.22408	-0.20901	0.16872	0.1151	0.30893	0.37352	-0.38368	1.0069	-1.6011	-0.029799	-0.31754	-0.51213	0.45277	0.025522	0.10241	-0.80359	-0.3709	-0.236	-0.43135	-0.17092	-0.58297	-0.031563	-0.055438	0.45277	0.017121	0.3661	-0.16434	0.25436	-0.23082	-0.018414	0.58397	0.70954	-0.22912	0.1972	0.74993	1.7778	0.62337	0.36066	-0.45551	0.4001	-0.44675	-0.20993	-1.0038	-0.16499	0.032183	-0.073139	-0.51853	-0.77956	-0.85458	2.6086	-1.339	0.39805	-0.38368	1.9478	-0.37029	2.6086	-0.38368	-0.37029	0.37352	0.30893
