"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"BRCA2"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-13-1512"	0.074048	0.26396	-0.012687	0.30711	0.68064	-0.55401	-0.81345	-0.13867	0.36608	0.32501	0.82233	0.78607	0.046566	0.064352	-0.041275	0.46533	0.22748	0.072995	0.10745	-0.48352	-0.090058	0.18003	-0.21144	0.29838	0.86881	0.2674	0.5312	0.85424	0.17029	0.59105	0.23661	2.0362	0.099684	-0.068096	-0.65744	-1.1257	-0.49296	-0.095425	-0.7369	-0.31152	0.012045	-1.5627	-0.47158	-2.2896	-2.0902	-0.70083	-0.63913	0.35186	0.099602	-0.20864	-0.30592	-0.60811	-1.6595	-1.3072	-2.0055	-0.68204	-0.4716	0.45546	-0.13717	0.1111	0.11511	0.19417	0.0068177	-1.803	-0.87263	-2.5378	-0.54362	-0.70479	-0.18064	-1.4552	-0.867	-2.088	-1.6821	-2.0429	-0.13441	-1.6776	0.45159
"TCGA-24-1545"	-0.23816	-0.32362	0.02496	0.20433	-0.20223	0.57768	-0.52122	-0.15915	0.034182	-0.11417	-0.39693	0.012083	-0.54141	0.15985	0.23481	-0.25709	0.042133	-0.030248	0.78696	-0.44288	-0.026499	0.23529	-0.43848	0.33409	0.63428	0.20957	-0.18522	0.25589	1.0082	0.44213	0.3615	-0.18158	-1.5899	-0.43819	1.0701	1.0187	-0.55082	-0.18336	0.60384	-0.36528	-0.42528	-0.46707	-0.013987	-0.10098	-0.49233	0.15624	-0.060385	0.3218	0.39451	0.17046	-0.012315	0.63731	0.90468	0.046687	0.6129	0.47974	0.28497	0.18086	-0.22967	0.33022	0.071429	0.14278	0.19191	0.24548	-0.4114	-0.22299	-0.22643	0.18839	0.29924	0.92243	0.65495	-0.34237	-0.80161	-0.21003	-0.064344	-0.81928	0.079391
"TCGA-24-1556"	-0.23179	-0.2442	-0.2066	0.49835	-0.20207	0.066611	-0.52129	-0.12273	0.10482	0.0050908	0.68877	0.28568	0.20623	0.19652	0.15833	0.37233	1.1299	-0.35315	-0.37955	-0.065281	0.019787	0.37557	-0.24339	0.16712	0.12969	-0.22847	0.039605	0.23924	0.081602	0.011518	0.23433	0.31926	-0.0098049	-0.34609	-0.023271	1.1932	-0.36528	-0.00494	0.84618	-0.16409	-0.013194	-0.80147	-0.94595	-1.5452	-1.3706	-0.31026	-0.40137	0.50007	0.1492	0.00054473	-0.16476	0.0351	0.15664	-0.8483	-0.74556	0.10303	-0.10769	0.16913	-0.11632	-0.22221	0.021792	0.14046	-0.0093082	-0.84363	-0.30948	0.477	0.22594	-0.16745	0.053077	0.60406	0.74915	-0.80778	-0.80058	-0.82627	-0.17357	-1.0698	0.87787
"TCGA-24-1567"	-0.14322	-0.2752	-0.0067837	0.72073	-0.90352	0.070469	-0.44678	-0.147	0.103	-0.26743	-0.53951	0.64287	-0.31445	0.19605	0.038093	0.20777	0.4515	-0.1032	1.0346	-0.33404	0.061925	0.38029	0.33122	0.3187	0.68486	0.20085	0.1051	0.49092	0.17826	0.8143	0.34721	0.16765	0.30024	1.1321	-0.5291	1.1657	-0.24405	0.010493	0.81604	-0.80441	-0.38571	-0.65078	-0.66888	-0.61089	-0.52655	-0.17011	-0.24317	-0.84929	0.048927	0.076899	0.035158	-0.037543	-0.069666	-0.69166	-0.55989	0.01056	-0.21592	0.23962	0.053083	0.021733	0.079904	0.19195	-0.044499	-0.023113	-0.044028	-0.46229	-0.1543	1.9312	0.25577	0.47971	0.55843	-0.37424	-1.6251	-0.74609	0.033245	-1.1986	0.80061
"TCGA-36-1578"	-0.38248	-0.31042	-0.3208	0.35853	-1.1219	0.64175	-0.39196	-0.10936	0.024303	-0.28554	-0.98571	0.13307	-0.44813	0.089469	-0.072541	-0.30975	-0.2144	-0.51834	0.081841	-0.22288	-0.11268	0.21091	-0.034166	0.15838	0.92904	-0.53239	-0.15925	-0.043642	-0.33197	-0.1166	0.26286	1.5576	0.85249	0.39505	-0.23904	3.377	-0.19859	-0.12592	1.3054	0.019919	-0.33907	-0.72793	-0.5331	-0.12216	-0.44995	0.087822	0.48522	0.20646	0.35162	-0.038308	-0.061696	-0.004559	0.41399	-0.30876	0.24284	0.45436	0.1532	0.33761	-0.15696	0.045087	-0.02771	0.20761	0.38149	-0.32599	-0.49747	-0.11599	-0.14734	-0.15296	0.44884	-0.57421	-0.34359	0.93998	-0.60064	-0.65481	-0.011778	-1.7867	-0.022954
"TCGA-25-1626"	-0.29078	-0.23982	-0.08674	0.12088	-0.72468	0.51282	-0.58281	-0.22032	-0.096751	-0.21559	-0.10868	0.062696	-0.43547	0.029379	-0.0026691	-0.21346	0.078058	0.17397	-0.086341	-0.33844	-0.29526	0.13194	-0.48317	0.039631	0.23156	-0.41818	-0.10321	-0.031619	1.3288	-0.040707	0.55367	0.30152	-0.65255	0.041583	0.80047	0.68981	-0.48025	-0.20192	-0.28381	-0.28349	-0.28226	0.99729	0.21313	0.1583	0.48219	0.1497	0.26749	0.58561	0.25088	0.60103	-0.08021	0.77875	2.1908	1.0448	0.56402	0.52925	0.40535	0.40575	-0.13427	0.10124	-0.027242	0.33885	0.015774	0.7713	-0.27359	0.47391	-0.13274	1.7149	0.35912	1.4814	1.4623	0.12022	0.88832	-0.087124	0.029574	-0.6924	0.13188
"TCGA-09-1666"	-0.36754	-0.37215	-0.10814	0.10596	-0.43712	0.4298	-0.68509	-0.026296	0.25085	0.026181	0.45611	0.3985	-0.19405	0.12186	-0.033405	0.18372	0.49171	0.077929	0.68302	-0.12463	-0.0042289	0.271	-0.14727	0.25393	0.59081	0.061972	-0.18063	0.32528	-0.56241	0.54881	0.26203	0.37715	0.61903	0.58238	-0.32293	2.3404	-0.00072142	-0.19426	1.2973	-0.56426	-0.38727	-1.2693	-0.62985	-0.50121	-0.28388	-0.093812	0.19981	1.1856	0.36178	0.10034	0.16365	0.049443	1.5223	0.32802	0.56908	-0.06663	0.17354	0.062725	-0.11653	-0.12337	0.042395	0.2499	0.19484	0.50609	-0.11862	0.33996	-0.0027296	0.050396	0.16498	-0.41957	-0.19823	-0.75063	-0.80399	-1.2674	-0.15215	0.43423	1.1108
"TCGA-29-1696"	-0.12709	-0.52217	-0.13408	-0.036477	-0.60099	0.70995	-0.071656	-0.042224	0.10159	-0.012658	-0.26291	-0.46849	-0.65554	0.17627	0.12764	-0.085621	0.25626	0.80713	0.19102	-0.37845	0.12533	0.18352	0.13674	0.25278	-0.37545	0.13199	-0.080288	-0.14195	-1.3741	0.75398	0.20205	2.9849	0.60729	1.0166	-0.74609	1.5731	0.22806	0.35318	0.671	-0.4733	-0.05394	0.31816	-0.15704	0.1802	0.30495	0.22188	0.19777	-0.01328	0.2441	0.21919	0.28373	-0.074425	2.1146	1.8224	0.83808	0.68622	0.28243	0.74417	-0.069693	0.19565	-0.01841	0.58598	0.35632	0.49699	-0.13034	0.39801	-0.10358	0.73597	0.15318	0.27205	0.43119	0.33886	-1.0614	-1.8827	-0.15229	-1.4151	0.89586
"TCGA-04-1514"	-0.3489	-0.54371	-0.2186	0.74695	-1.0663	0.21919	0.35381	-0.21764	0.099468	-0.01668	0.52803	-0.020426	-0.68817	0.12963	0.056594	0.60122	0.13726	1.6078	0.20596	-0.40381	-0.080513	0.22547	-0.82302	0.25226	0.75901	0.35179	-0.04952	0.48796	-0.515	0.81667	0.085574	0.36373	-0.78495	-0.025028	0.35808	1.7161	-0.17389	0.24127	0.56506	-0.81196	-0.16231	-0.39081	-0.83146	-0.7935	-0.82071	-0.12712	-0.25221	0.46844	0.13838	0.83987	-0.096334	0.31528	0.96832	-0.27458	0.11855	0.42323	-0.040417	0.2121	-0.15775	-0.016693	0.10192	0.11683	0.063784	0.074271	-0.31443	0.22799	-0.18061	0.22609	0.29092	0.51132	0.75635	1.1982	-0.87812	-0.68572	-0.1219	-1.4419	0.59167
"TCGA-24-1548"	-0.28529	-0.57698	-0.096913	0.4376	-0.71078	0.30667	-0.88675	-0.13483	0.30687	0.45856	2.0604	1.9673	-0.69583	0.2218	0.044364	0.25862	0.84576	0.6099	0.96708	-0.49691	0.072061	0.49733	0.10357	0.14462	0.40038	0.085498	0.0036313	0.41698	-0.42108	0.47382	0.31055	0.99149	0.14779	0.65094	0.12819	2.574	0.0014835	0.22898	1.2402	-0.75508	-0.50871	-1.2157	-1.0853	-0.090856	-0.42761	0.054639	-0.44246	0.39713	0.046795	0.42711	0.059756	-0.060295	0.18476	0.017456	0.20571	0.26871	0.14478	0.28496	-0.14977	-0.14393	0.05901	0.17896	0.2163	0.058964	0.063156	0.7807	0.13136	0.066676	0.19329	0.070321	0.45	0.51885	-0.72528	0.33962	-0.29063	0.29082	1.057
