"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-AG-3583"	-0.69993	0.37392	0.0056636	-0.78873	0.37725	-0.49517	-0.87052	-0.089898	-0.0070765	-0.082141	0.8291	-0.33821	-0.31568	0.22373	0.016772	-0.094413	0.51311	-0.23643	-1.6391	-0.11493	0.013504	-0.0078347	-0.041813	0.22426	-0.359	-0.14632	0.25626	-1.0614	-0.4637	-0.48894	2.4974	1.2764	2.1052	-0.37759	-2.0264	-0.3543	-0.25271	-0.90392	1.2591	-0.35337	-1.1657	-1.4119	-1.4627	-1.5848	-0.46213	-0.31089	0.11183	0.12744	0.20738	-0.085728	-0.24277	-0.71828	-0.29113	-0.75122	0.0010411	-0.16144	0.76079	0.10938	0.62395	-0.0049935	0.0071831	0.59887	0.17738	-0.45592	-0.68533	-0.24509	0.16837	-0.0053955	-0.55567	-0.29646	-0.34386	-0.25956	0.97243	0.14926	0.12551	0.60345
"TCGA-AG-3593"	-0.83406	-0.54623	0.11129	-0.36297	0.60893	-0.21229	-0.55448	0.42426	-0.13297	0.09088	0.88781	0.21891	-0.1336	0.029689	0.0036278	0.10269	0.12843	0.00026893	-0.56206	0.042415	0.39743	0.4922	-0.094765	0.57511	0.024442	0.26847	0.23151	-0.76082	0.19803	-0.096439	1.4252	0.55764	2.1172	-0.64337	-2.3008	-0.43768	-0.2911	-0.97638	0.20637	0.0028478	-0.55805	-0.83012	-0.39472	-0.48895	-0.0317	-0.43282	0.56081	-0.19884	-0.025416	-0.10195	-0.0072085	-0.13515	-0.14322	-0.22135	-0.20923	-0.12561	0.83082	0.13356	0.23487	-0.0058846	-0.12649	1.3102	-0.070892	-0.36205	-0.21588	-0.0298	0.032067	0.1286	-0.60498	-0.56386	0.23694	1.4069	1.8818	0.12874	0.15643	0.38172
"TCGA-AG-3584"	-0.91851	-0.24562	-0.12917	-0.19125	0.69053	0.032132	-0.77436	0.40131	0.062565	-0.072081	0.3997	-0.78034	-0.20102	-0.022148	-0.25464	0.038034	0.25654	-0.47535	0.17378	0.07022	0.041577	0.0023543	-0.10015	1.2058	-0.074498	0.1863	-0.19956	-0.45542	-0.31659	0.2476	1.9948	1.1583	1.2248	-0.71111	-1.9722	-0.54605	-0.25307	-0.93238	1.8002	-0.1539	-0.31327	-0.52729	0.11797	-0.28467	-0.014653	0.10369	0.25154	-0.067049	-0.42837	-0.12215	-0.098565	-0.18626	-0.26344	-0.27269	-0.11769	-0.0087147	0.98185	-0.0018558	0.50097	-0.14958	-0.10099	1.2313	0.33594	0.1664	0.29862	-0.19009	-0.028201	0.11761	-0.49407	-0.57916	0.38266	1.617	1.6052	-0.11788	0.1584	0.4252
"TCGA-AG-3598"	-0.79067	-0.64546	0.076167	-0.16457	0.8408	-0.35311	-0.832	0.13385	0.1263	-0.11204	0.73687	-0.21302	0.080533	-0.036932	-0.28884	0.19623	0.36463	0.11683	-0.21467	-0.1937	-0.048297	0.14111	-0.17284	0.42946	0.13225	0.18298	-0.27714	-1.1902	0.00018964	-0.47512	1.4944	1.036	1.9482	-0.43744	-2.1369	-0.58954	-0.26402	-1.0409	1.3514	-0.25153	-0.93918	-1.0792	-0.71914	-1.0302	-0.29563	-0.50911	-0.35219	-0.023115	-0.19861	-0.21949	-0.31382	-0.43975	0.16491	-0.41264	-0.30636	0.00069261	1.2362	0.16131	0.59352	-0.07347	-0.084407	0.8125	0.33183	-0.28861	-0.19457	-0.28906	-0.024587	0.10441	-0.2362	-0.076307	-0.061685	0.53604	1.2729	-0.051982	0.50285	0.42737
"TCGA-AG-3586"	-0.75184	-0.037139	-0.0045211	-0.90232	1.2004	-0.047263	-0.96398	0.040182	-0.093663	-0.21648	0.59014	-0.89519	-0.28002	0.00069475	-0.22629	-0.01023	0.22993	-0.43516	0.48419	-0.11751	0.0085978	-0.032404	-0.072918	-0.081967	-0.36377	-0.088343	-0.22148	-0.7912	-0.3934	-0.0018142	2.2199	1.282	1.3142	-0.53347	-2.1051	-0.62746	-0.24456	-0.90722	0.87412	-0.34405	-0.022382	-0.35925	0.27294	0.08793	-0.0084068	0.2406	-0.2462	0.042486	0.0050939	0.019935	-0.20759	-0.16049	0.15578	-0.14043	0.34093	0.21856	1.4178	0.0425	0.84562	0.057775	0.27843	0.91153	1.0176	-0.15009	0.49611	-0.21877	0.050378	0.17302	0.36835	-0.0462	0.80833	0.63529	1.5618	-0.047873	-0.14764	0.33888
"TCGA-AG-3600"	-0.8541	-0.11286	-0.15805	-0.29188	0.59697	-0.22761	-0.42274	0.40854	0.093287	0.0089115	1.099	0.13694	-0.068265	0.039344	-0.24091	0.31675	0.026627	-0.52291	-0.15354	-0.208	-0.055903	0.19454	-0.11957	-0.43259	0.18965	0.13292	0.018871	-0.56221	-0.12043	0.23965	2.8481	0.90855	1.6049	-0.67728	-2.2133	-0.64325	-0.27704	-1.0444	0.7595	-0.048452	-0.71784	-1.0829	-0.33872	-0.80207	-0.19632	-0.40909	0.72385	-0.086269	-0.23823	-0.17617	-0.168	-0.072296	-0.031293	0.11657	-0.29618	-0.19666	0.36653	0.0049927	0.28856	-0.13713	-0.069287	0.96145	0.46398	-0.084265	-0.21064	-0.18758	-0.034203	-0.049432	-0.81511	-0.94118	-0.18682	0.85279	1.814	0.17304	0.62717	0.39849
"TCGA-AG-3574"	-0.2904	0.09729	0.078611	-0.34091	0.075316	-0.22795	-0.095442	0.54979	-0.21675	-0.065871	-0.44875	-0.70483	-0.42065	-0.003466	-0.39861	0.0087047	-0.41172	-0.64821	-0.28426	-0.042411	-0.25941	-0.056701	0.027615	-0.51953	0.084662	0.36654	-0.15235	0.44894	0.7276	1.552	1.7465	-0.11909	1.9827	0.16993	-2.0455	-0.5962	-0.24635	-0.84282	0.23531	-0.327	-0.43519	-0.7819	-0.18771	-0.29047	0.045258	-0.13039	0.46164	-0.13637	-0.26879	-0.20934	-0.030894	0.7032	0.17703	0.01025	-0.29078	-0.17818	0.33313	0.029634	0.1916	-0.010954	-0.13276	0.98463	0.11293	0.099421	-0.79069	-0.24764	0.038807	0.090895	-0.8624	-0.63428	-0.62661	2.0365	2.3335	0.46861	0.96367	0.11508
"TCGA-AG-3594"	-0.43846	-0.19181	0.18882	-0.33819	1.8595	-0.24218	0.088302	1.1952	0.0016656	-0.084172	-0.37537	-0.7228	-0.30965	0.094886	-0.27953	0.012014	-0.53382	-0.73549	0.17204	-0.05782	-0.094561	-0.51221	0.10301	-0.71139	0.029288	0.1178	0.08729	-0.62313	0.14223	0.5477	3.2035	0.45941	1.417	-0.64942	-2.2211	-0.48829	-0.30039	-0.89891	0.47135	-0.20493	-0.60828	-0.82092	-0.025115	-0.48354	0.091086	-0.30332	0.78565	-0.24071	-0.26509	-0.16793	0.033351	0.5471	0.61889	0.12098	-0.38248	-0.11483	0.25867	0.076464	0.37593	-0.017271	0.065383	1.202	0.38068	0.07663	-0.051097	7.6069e-05	-0.036073	0.046124	-0.45488	-0.47261	-0.5791	1.1281	1.8121	0.50429	0.25783	0.37145
"TCGA-AG-3601"	-0.58718	0.085994	0.11189	-0.62244	0.022251	-0.18631	-0.88807	0.45692	-0.23005	0.065254	0.45813	-0.12512	-0.1529	0.036438	-0.24128	0.3178	-0.017854	0.059696	-0.44173	-0.10433	0.86342	0.089788	-0.040433	0.42577	0.43487	0.17508	0.23459	0.076714	0.041192	0.19645	1.1205	0.5066	1.5925	0.67385	-2.2009	-0.64602	-0.27592	-1.0012	0.77595	-0.15649	-0.25905	-0.68418	-0.11968	-0.43713	-0.12273	-0.40331	2.2294	-0.013072	-0.12974	-0.16562	0.011537	0.28364	0.12819	0.13547	-0.31195	-0.031991	0.41656	0.15054	-0.0045202	-0.15669	-0.12241	0.30663	0.26718	-0.16792	0.20656	-0.15688	0.034121	-0.11181	-0.52248	-0.84287	0.2029	1.5718	2.0096	0.22515	0.68192	-0.44097
"TCGA-AG-3725"	-1.2448	-0.6902	-0.41421	-0.69291	0.66934	0.10515	-1.1246	0.21718	0.037198	-0.40609	-0.29926	-0.81495	-0.64125	0.1841	-0.18026	0.20815	0.066982	-0.17606	-0.49173	-0.28103	-0.081737	0.29645	-0.24996	0.5403	-0.09524	-0.19467	-0.48514	-1.2899	-0.12078	-0.13494	2.629	1.2571	1.5616	-1.0063	-2.4432	-0.55563	-0.28105	-1.1836	1.4251	0.18191	-0.27032	-0.50906	0.63683	0.26273	0.42756	-0.023595	0.11817	-0.039098	0.22592	-0.16332	-0.15009	1.3368	0.6671	0.29074	0.84627	0.66741	0.44292	-0.11757	1.2384	-0.25194	-0.012145	0.93095	-0.13305	-0.072523	0.32103	-0.20979	0.03083	0.1238	1.1875	0.77091	0.51104	0.25732	1.9066	-0.055466	0.0080649	0.55902
