"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-BF-A1PU"	-0.53355	0.13089	-0.11793	-0.6034	-0.85022	-0.063509	1.4848	0.17963	0.16977	-0.29695	0.14422	0.083635	-0.0080988	0.0052193	-0.26172	0.28671	0.39918	0.13306	1.1356	0.11352	-0.23367	0.82472	-0.042946	-0.066748	0.21501	0.61027	0.16045	0.84561	0.39963	0.12882	-1.421	1.004	1.4768	0.29126	-1.7316	-0.62872	-0.1701	-0.78634	-0.50359	-0.28502	-0.081553	-0.47719	-0.98531	-0.66103	-0.28869	-0.31731	-0.29797	0.020723	-0.079929	-0.19744	-0.083639	-0.66278	-0.29752	-0.019997	-0.32097	-0.1321	-0.085929	-0.14535	-0.18876	0.0047865	-0.20756	-0.31846	-0.57427	-0.29586	-0.72402	-0.041436	-0.18245	-0.002102	-0.47973	-0.43086	-0.62399	1.6304	1.6532	0.61118	0.2985	-0.42155
"TCGA-BF-A1PX"	-0.23329	-0.012519	-0.24007	-0.98164	1.0399	0.11626	0.16349	-0.15672	0.20256	-0.13618	-0.37926	-0.50925	0	-0.089404	0.073363	0.16431	0.12781	-1.4905	1.3895	0.17453	-0.20675	-0.041176	-0.24237	-0.31196	-0.56454	0.028495	-0.25242	-0.19907	-0.049127	0.55849	-1.4684	-0.60368	-0.34661	3.4729	-1.8332	-0.40566	-0.31102	-0.75964	-0.48393	-0.44398	0.27588	0.59672	1.0634	1.7519	0.13501	0.84227	0.2137	-0.0089921	-0.20221	-0.11949	-0.3406	0.53896	1.1109	-0.09772	-0.024682	0.66682	-0.25331	-0.17704	-0.42773	-0.02002	-0.21504	0.013833	1.2474	0.39692	1.2173	0.20202	0.13521	0.55187	1.9551	2.2282	1.3952	-0.25544	-1.6815	0.031332	1.1604	-0.19724
"TCGA-BF-A1PZ"	-0.47662	0.144	-0.15429	-0.96533	0.99515	-0.026635	0.65739	0.10499	0.37059	-0.030349	0.62885	-0.048714	0	0.045646	-0.11677	0.19601	0.27705	0.067965	1.6606	0.0050115	-0.18938	0.4786	0.031194	-0.25328	-0.09992	0.090343	0.12946	-0.30087	-0.37228	-0.21936	-1.4941	-0.0015582	0.094275	-0.14765	-1.7538	-0.44683	-0.29199	-0.9018	-0.66883	-0.74535	0.22011	0.86408	0.78738	0.79928	0.2754	0.83192	0.35147	-0.044597	-0.17078	0.011918	-0.2338	0.3901	0.25872	-0.39954	-0.19974	-0.028989	-0.36244	-0.14543	-0.47196	0.099105	-0.13619	-0.15551	0.6503	0.32137	0.55328	0.42905	-0.078819	0.58669	0.37805	0.57301	0.92556	-0.42243	-1.5762	-0.23002	1.1062	0.44838
"TCGA-D3-A1Q1"	-0.29087	0.086901	0.13999	-0.48298	-0.45979	-0.43453	-0.30362	-0.26251	0.075271	-0.1761	-0.7194	0.31199	-0.036929	0.23105	-0.024181	0.1717	-0.039841	0.24087	1.1673	-0.24518	0.086784	0.97655	0.23002	0.10107	-0.12138	-0.07128	0.27181	0.45298	-0.036925	0.66379	-1.5195	-1.9578	-1.6241	0.8628	-1.3107	-0.48897	-0.077483	-0.56133	-0.54053	-0.6558	-1.0446	-0.90432	-1.2379	-1.1816	-0.38082	-0.25679	-0.55217	0.15966	-0.045549	0.051151	-0.081753	-0.081082	-0.020333	-0.6691	-0.0077813	-0.14508	-0.062212	0.0029742	-0.16917	0.24402	0.07391	-0.025499	-0.43832	-0.38437	-1.5922	-0.24617	0.061411	-0.14474	-0.47999	-0.45995	-1.2583	0.87979	2.9466	0.03817	2.1499	-0.0079415
"TCGA-D3-A1Q4"	0.34309	-0.041956	0.092168	-0.72568	-0.71013	0.55161	0.0042582	-0.11644	0.49074	-0.2241	0.47174	-0.33814	0.35784	0.14132	0.09046	-0.33167	0.88544	-0.21399	0.82863	0.89892	0.97811	0.37307	0.066091	-0.063108	0.17384	0.013378	0.11246	0.524	0.34915	0.28155	-1.6787	-1.8133	0.1959	0.60075	-1.5538	-0.18063	0.074748	-0.64027	-0.68884	-0.55596	1.5308	0.93675	0.61485	0.74395	0.40297	0.62504	-0.57542	0.14231	-0.28604	0.064181	-0.14394	-0.29959	0.3865	0.5082	-0.22433	2.0777	-0.25738	0.13294	-0.29196	0.36763	-0.22239	-0.31313	0.499	-0.19145	-0.17941	-0.22071	0.44995	0.024829	-1.0032	-0.64026	-0.036629	0.78371	1.6194	-0.056858	1.6571	0.15616
"TCGA-D3-A1Q5"	0.53801	0.51412	0.18659	-0.2748	-0.93066	0.4473	0.6658	0.28731	-0.16725	-0.67786	-1.207	0.14026	0.19789	0.038233	0.038872	-0.57702	-0.56503	1.7126	-0.77293	0.064589	-0.074458	0.005123	-0.11499	-0.22201	0.21841	-0.062134	0.72718	0.91976	0.60328	-0.47844	-1.4537	-4.0044	0.15581	0.31768	-1.9082	-0.21566	0	-0.092147	-0.56551	0.38996	1.9059	2.9229	0.895	0.8455	0.56048	0.42582	0.22463	-0.3108	-0.13375	0.12165	-0.2295	-0.70171	0.5304	0.39334	-0.27428	0.13888	-0.65191	0.1541	-0.18657	0.31138	-0.7581	-0.46635	-1.5983	-0.12514	0.093523	0.10954	-0.013808	0.54532	-0.18547	-0.11432	1.9796	1.7427	-0.13456	0.3538	0.33972	0.10897
"TCGA-D3-A1Q6"	-0.88473	0.22043	-0.19694	-0.95165	1.285	0.23928	-0.37136	0.022315	0.57457	-0.33294	-0.049269	0.71091	-0.36412	0.024367	-0.10677	0.28024	0.015056	-0.69097	0.16979	-0.085257	-0.017621	-0.41951	0.02434	0.078316	-0.4728	0.14616	-0.28834	-0.39146	-0.21738	-0.47472	-1.4879	-3.5105	-2.2268	2.2061	-1.5103	-0.65095	-0.10088	-0.78358	-0.54902	-0.73257	0.026798	0.22198	0.37471	0.49826	-0.21882	0.29517	-0.058286	1.1108	-0.070573	-0.060191	0.13431	-0.38653	0.34783	1.1202	0.31508	0.35276	0.037744	-0.32043	-0.26884	-0.02467	0.49362	0.62323	-0.11636	-0.14375	0.47943	0.31073	0.26352	0.07869	1.2871	1.2683	0.41832	0.41343	-0.31857	-0.03664	0.54064	-0.63315
"TCGA-D3-A1Q7"	0.4306	0.12344	0.15044	0.14269	3.1135	-0.35644	0.020571	-0.074377	-0.25184	0.078664	0.069964	0.80019	0.53944	0.034008	0.32564	0.1594	0.05478	-0.21114	0.78552	0.15088	-0.18368	-0.078836	-0.0055224	0.062689	-0.32996	0.11121	-0.089414	-0.06905	0.019624	-0.26561	-1.4678	-1.5835	-0.98092	0.66448	-1.2932	-0.24204	-0.011331	-0.63816	-0.59243	-0.17003	-0.20286	-0.64455	-0.88244	-0.96894	-0.3053	-0.14646	0.028359	-0.10281	-0.12247	-0.047655	-0.28098	-0.89509	-0.35282	-0.3556	-0.18947	-0.18743	-0.29319	0.053238	-0.37642	0.11404	-0.18877	-0.11138	-0.91773	-0.29631	-1.6964	0	-0.0080829	0.0004893	0.41571	0.55431	-1.2002	-0.32728	-1.5361	-0.12128	0.25394	0.34856
"TCGA-D3-A1Q8"	0.2837	0.69521	-0.027785	-1.026	-0.9069	-0.08266	-0.55907	-0.13014	0.1107	-0.56967	-0.30615	0.21801	0.28063	0.058854	-0.15816	0	-0.099171	1.0013	1.1225	-0.18449	-0.14934	0.070865	-0.014751	0.166	-0.59941	-0.018607	0.51418	0.54977	0.12056	-0.26011	-1.4807	-3.7083	-0.87694	0.50967	-1.5879	-0.27283	0.023611	-0.64883	-0.77975	0.05224	-1.1187	-0.94373	-1.1605	-0.90789	-0.15674	-0.25224	0.23778	-0.17436	-0.18044	-0.018414	-0.21659	-0.78914	-0.16825	-0.35778	-0.2315	0.66504	-0.34156	0.090249	-0.14742	0.088886	0.085195	-0.34348	-0.89592	0.28683	-0.69867	0.035934	-0.07584	-0.30346	0.329	0.13925	-1.1584	0.56891	-1.103	-0.053129	-0.19332	0.13073
"TCGA-D3-A1Q9"	-0.06107	0.45762	-0.033619	0.82718	1.2036	0.119	-0.13823	0.80825	-0.23228	0.030478	0.38604	0.77818	-0.11183	0.012455	0.040944	-0.11018	0.44198	0.14984	0.43479	-0.0019089	0.07963	0.19024	0.02872	0.010242	-0.49118	-0.056098	0.25453	-0.13843	-0.080969	-0.41727	-1.6443	0.023572	0.040972	0.85804	-1.5586	-0.44478	-0.11558	-0.77361	-0.74486	-0.57923	1.8049	2.3311	1.0194	1.0178	-0.050164	1.1429	-0.84195	0.03152	-0.12365	-0.010228	-0.22029	-0.8873	-0.096435	-0.76586	-0.15513	-0.20998	-0.41027	-0.097497	-0.34146	0.16293	-0.18034	0.0024401	-0.1051	0.018253	0.39801	0.39485	-0.077661	-0.016243	-0.14452	0.17464	0.20688	-1.1764	-1.7012	0.002873	-0.026814	-0.26834
