"sampleID"	"BAK"	"BAX"	"BID"	"BIM"	"CASPASE7CLEAVEDD198"	"BADPS112"	"BCL2"	"BCLXL"	"CIAP"	"CDK1"	"CYCLINB1"	"CYCLINE1"	"CYCLINE2"	"P27PT157"	"P27PT198"	"PCNA"	"FOXM1"	"X53BP1"	"ATM"	"BRCA2"	"CHK1PS345"	"CHK2PT68"	"KU80"	"MRE11"	"P53"	"RAD50"	"RAD51"	"XRCC1"	"FIBRONECTIN"	"NCADHERIN"	"COLLAGENVI"	"CLAUDIN7"	"ECADHERIN"	"BETACATENIN"	"PAI1"	"ERALPHA"	"ERALPHAPS118"	"PR"	"AR"	"INPP4B"	"GATA3"	"AKTPS473"	"AKTPT308"	"GSK3ALPHABETAPS21S9"	"GSK3PS9"	"PRAS40PT246"	"TUBERINPT1462"	"PTEN"	"ARAFPS299"	"CJUNPS73"	"CRAFPS338"	"JNKPT183Y185"	"MAPKPT202Y204"	"MEK1PS217S221"	"P38PT180Y182"	"P90RSKPT359S363"	"YB1PS102"	"EGFRPY1068"	"EGFRPY1173"	"HER2PY1248"	"HER3PY1298"	"SHCPY317"	"SRCPY416"	"SRCPY527"	"X4EBP1PS65"	"X4EBP1PT37T46"	"X4EBP1PT70"	"P70S6KPT389"	"MTORPS2448"	"S6PS235S236"	"S6PS240S244"	"RBPS807S811"	"CAVEOLIN1"	"MYH11"	"RAB11"	"GAPDH"	"RBM15"
"TCGA-FI-A2EY"	0.119	0.1191	0.43939	0.083039	-0.46277	0.71258	-0.18579	-0.13419	-0.30633	-0.17537	-0.44591	0.28999	0.20547	0.20848	-0.049062	0.44272	0.09004	0.021656	0.63797	-0.024913	0.062184	0.55552	0.68643	0.2511	1.9678	-0.097928	0.12208	0.14459	0.074292	0.48463	-0.12378	1.7488	0.62763	-0.15624	0.0060363	-0.94558	-0.30209	-0.13888	-0.51233	-0.5931	-1.1092	-1.2005	-0.7251	-0.48735	-0.59892	-0.17071	-0.54131	-0.42417	0.15714	0.002659	0	0.019571	-0.25616	0.81274	0.68552	0.17096	0.09761	0.84664	0.055546	0.71491	0.13726	0.22989	0.15233	-0.67413	-0.42355	-0.82738	0.0030358	-0.17586	-0.035945	0.01226	-0.32244	-0.18467	-1.0411	-0.90637	0.14026	0.74435	0.32744
"TCGA-DF-A2KS"	0.20241	0.068035	-0.019091	0.14042	2.0165	0.28383	-0.6509	-0.40584	-0.04808	-0.23721	0.71843	0.062952	0.44583	-0.021986	0.30182	0.78203	0.19993	-0.94789	0.35221	0.14502	-0.035551	0.16226	0.19215	0.0078596	1.0121	-0.23062	0	-0.16163	-0.056111	-0.18177	-0.36895	2.2773	0.6212	-0.16155	0.40832	0.76265	-0.24002	-0.14902	-0.77378	-0.95763	-1.1566	0.85884	0.74314	0.67341	0.15776	0.15798	0.2447	-0.71204	0.067318	-0.11166	-0.18308	-0.24242	-0.5437	-0.28558	0.29869	-0.25512	-0.38629	-0.12965	-0.10822	-0.29579	0.0963	0.21886	0.097176	0.098418	-0.50595	0.019504	0.19746	-0.34665	-0.23743	-0.46454	-0.36012	-0.6034	-1.8899	-1.3409	0.048703	-0.41832	0.36882
"TCGA-A5-A1OH"	0.30852	-0.62137	-0.17148	0.32232	-1.1296	0.3315	0.55852	-0.40701	-0.074897	0.12909	0.53055	0.21605	0.10809	0.067025	0.11582	0.095742	0.47664	0.37431	1.0522	0.40416	0.20538	0.3121	0.064282	0.011561	-0.1643	-0.05996	0.55023	-0.034604	0.5374	-0.0017752	-0.40331	-1.4147	-3.181	-0.39368	-0.32158	-0.17226	-0.23059	-0.056082	-0.30769	0.058569	-0.70734	0.30467	0.4263	0.4941	0.86975	0.2574	1.2022	-0.014494	-0.19049	-0.074805	0.045264	0.23773	-0.71682	-0.51416	-0.059324	-0.13068	-0.091853	0.31952	-0.065036	0.09678	0.11658	0.24572	0.0072981	1.5168	0.042306	0.1194	-0.08808	-0.089365	0.038178	-0.97441	-0.4621	0.25136	-0.47105	2.5757	-0.29899	-1.0261	0.3751
"TCGA-AX-A2H7"	0.092418	0.12205	-0.13909	-0.24146	-0.5327	-0.16294	-0.12466	-0.54252	0.033505	-0.16711	0.21326	1.6038	0.13989	0.067579	0.10872	-0.21407	-0.21639	0.19598	0.70127	0.54555	-0.1718	-0.0055028	0.33371	0.064149	-0.038743	0.10975	-0.038528	0.10636	-0.070987	-0.20648	-0.28373	0.11189	0.55958	0.43628	0.11646	3.6981	0.90911	0.17392	1.0137	-0.66188	-0.69081	0.56017	0.41459	0.32224	0.27212	0.069447	0.25085	0.11964	0.019144	-0.00064663	0.17223	-0.076016	-0.67639	-0.24102	0.3487	-0.20328	-0.45567	-0.38681	-0.0072442	-0.24497	0.24463	0.10566	-0.44256	-0.2809	-0.49315	-0.37067	-0.10402	-0.29008	-0.25723	-0.77405	-0.73492	0.18494	-1.2026	0.11164	-0.15112	-1.4745	0.27314
"TCGA-AX-A2HA"	0.98298	-0.16513	0.18043	0.26902	-0.49077	-0.52789	0.43946	0.045795	-0.30185	0.02784	0.94134	0.069595	0.76551	0.10562	0.25219	0.56262	-0.20037	0.26638	-1.6099	0.131	-0.13409	0.16788	-0.26607	-0.03727	-0.12429	-0.85901	0.052583	-0.32547	0.42566	0.52257	-0.11784	1.6794	0.18975	0.91475	-0.084098	0.83948	0.54839	0.42633	-0.13158	-0.59558	-0.3771	-0.41474	-0.22313	-0.71379	-0.60545	-0.19217	-0.39973	-0.93415	-0.036275	-0.089629	0	-0.063859	-0.03953	-0.47418	-0.93922	0.058953	-0.14099	-0.083213	0.34838	0.07349	0.46127	-0.2042	-0.078145	-1.0815	0.33962	-0.017032	0.25371	-0.3035	-0.47392	0.49845	0.64983	0.14716	1.2447	0.59869	0.51618	1.7022	-0.36841
"TCGA-A5-A2K4"	-0.076147	-0.13024	-0.098098	-0.13083	-0.21445	0.36437	0.9172	0.33511	-0.27216	-0.025985	0.32306	0.50875	-0.059006	0.10577	0.21345	-0.016907	-0.2517	-0.17118	-0.3282	-0.048525	0.15627	0.32886	0.77489	-0.20394	0.24341	0.34329	0.32382	0.38628	-0.30869	0.28991	-0.36034	0.34448	0.069922	0.7732	-0.16951	0.9824	-0.29717	-0.26638	-0.71327	-0.023013	-0.33256	0.49889	-0.20756	0.53149	0.11473	-0.02434	-0.43613	0.87598	-0.066696	0.69477	-0.084448	0.19145	0.92656	0.1986	0.63868	0.70914	0.46576	0.22653	-0.16561	0.18709	0.028486	0.34514	0.15141	-0.11045	-0.055426	0.23169	-0.11542	0.83837	0.3788	1.5057	2.0162	0.53314	0.12028	1.1947	-0.095591	0.38261	0.65467
"TCGA-EY-A2OM"	0.34139	-0.24676	0.20003	-0.13368	-0.39315	0.26819	0.24612	0.19384	-0.036772	-0.022467	0.41196	0.94347	0.23587	0.1061	-0.0035963	-0.29064	-0.20198	0.75547	-1.2532	0.12971	0.10011	-0.1653	0.44779	-0.17389	-0.28297	-0.20603	0.08072	-0.24945	1.1418	0.28362	-0.22537	0.81264	-0.012055	0.84982	0.48196	1.3435	-0.014491	-0.13192	-0.41799	-0.60784	-0.5	2.0736	1.5697	0.44475	0.46029	0.41105	0.26544	0.4279	-0.28252	-0.088268	-0.081748	-0.24723	-0.93937	-0.53357	0.33389	0.1015	0.10156	-0.33383	0.020302	0.03543	0.13891	-0.33629	0.45812	0.51497	-0.37014	-0.041726	-0.18742	-0.46232	-0.011549	0.058002	0.40244	0.79315	-0.55486	0.18248	0.055235	1.7091	0.68211
"TCGA-EY-A2ON"	-0.44917	-0.047818	0.98079	-0.35648	0.64971	0.067575	-0.53024	0.13869	-0.53388	0.21865	-0.40541	0.86062	-0.47939	0.194	-0.027715	-0.20314	-0.14019	-0.65025	-1.1497	-0.21904	0.056264	0.57943	-0.10123	0.48238	0.35282	-0.014203	0.61066	-0.27216	1.0578	0.63997	0.55672	2.6039	-0.0084921	-0.97369	1.0811	-0.74634	-0.65303	0.1681	-0.22355	0	-0.32265	-0.58401	-0.24547	-0.36314	-0.25809	0.19966	0.13151	-0.16257	0.30381	0.13237	0.21199	0.26975	-0.471	-0.12543	0.28668	0.55789	0.23653	0.81492	0.15831	0.85199	0.080368	0.406	0.68096	0.32586	0.053458	-0.1851	-0.042416	0.18055	0.19391	-0.34251	-0.78143	-0.22722	-0.32081	-0.92788	0.64401	-0.62879	0.078727
"TCGA-E6-A2P8"	-0.098431	0.20986	0.13505	-0.48745	1.4457	-0.02431	-0.055256	0.055279	-0.19464	0.29316	0.53572	-0.020731	0.034766	0.06381	0.014544	0.18815	-0.00097908	-0.23794	0.34021	-0.12385	0.19784	-0.078068	0.41469	0.031914	-0.091134	0.17553	0.23766	-0.15347	-0.019404	0.39099	-0.063281	0.64795	-0.10723	0.33904	0.32493	0.12339	-0.40391	0.00057451	-0.27712	-0.010519	-0.29849	-0.062903	-0.39981	-0.38135	-0.56583	-0.22361	-0.31571	0.13047	0.044023	-0.12595	-0.069366	0.019648	-0.19733	-0.29796	0.33611	-0.26057	-0.19744	-0.070091	-0.0078946	-0.39987	0.087301	-0.18234	-0.25544	0.57294	0.26822	-0.74164	0.039492	-0.0045741	0.22919	-0.40437	0.019616	-0.55131	2.8221	5.5001	0.42826	0.35056	0.11355
"TCGA-E6-A2P9"	0.50948	0	0.17323	0.54442	0.33779	0.4703	-0.52428	0.082781	-0.072267	-0.066584	-0.088707	-0.68013	0.2322	0.22481	0.22622	0.08823	-0.0066768	1.0173	-1.3588	0.21473	0.44506	-0.016562	0.017919	-0.17301	-0.22464	0.17115	-0.16233	0.23109	-1.0711	0.16266	-0.58586	2.252	1.2261	1.3391	-1.0408	3.7254	1.1221	1.7516	1.214	-0.98959	-0.71046	3.486	2.9219	1.5104	1.2956	0.57558	0.84634	-1.1083	-0.15739	0.42095	-0.29123	0.016653	1.2913	0.52618	0.74439	0.18656	-0.2354	0.58309	-0.012602	0.6279	0.16285	0.1855	0.0087499	-0.079133	-0.094779	0.020784	0.0632	-0.46204	0.17051	-0.0080482	-0.48037	0.51437	-0.81913	-1.0864	-0.12252	0.34438	0.64709
"TCGA-BG-A2L7"	0.61316	-0.036826	0.14186	-0.038916	0.36104	0.30539	-0.21321	0.17304	0.45349	-0.16888	0.26147	0.47166	0.49516	0.1245	0.15445	-0.060256	-0.069784	0.93422	-1.3638	0.12015	0.035198	-0.10037	0.22796	0	-0.24064	0.1637	0.09076	0.19138	-0.69246	0.33741	-0.30375	1.2686	1.1506	1.3135	-1.0898	4.2852	1.2713	1.5311	-0.35647	-1.0517	-0.49069	0.027406	-0.0086326	0.23117	0.10189	0.04773	-0.041866	-0.55357	-0.15837	0.26409	-0.25229	0.17014	-0.44699	-0.38928	0.20478	-0.26912	-0.3544	0.19	0.14206	0.024801	0.19545	-0.0071308	0.16948	0.51515	-0.5985	-0.62136	-0.089333	-0.47514	-0.053881	-1.025	-0.92359	-0.24598	-0.95813	-1.0263	-0.37239	0.30585	0.60117
