"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"MRE11A"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-44-2657"	876.5101	842.2819	658.3758	981.2081	626.8456	980.0268	572.4832	3380.5369	1181.8792	378.5235	412.0805	110.7383	117.047	1630.2013	1647.651	312.4362	712.0805	1344.2953	88.5906	129.5302	267.1141	6499.3289	324.1611	753.0201	618.1208	84.5638	775.1678	37027.5168	34.8993	4934.2282	1693.9597	7487.9195	8680.5168	481.8792	92.6174	83.2215	28.8591	212.7517	395.302	4488.5906	2563.7584	285.2349	1419.4631	1189.9329	815.4362	2090.604	1351.6779	2112.0805	5875.8389	1895.9732	173.1544	3293.2886	1817.5638	1093.9195	1655.0336	3440.2685	8442.953	1367.7718	2710.0671	1553.0201	2775.1678	1142.2819	381.2081	728.1879	1991.9463	23440.9396	1239.5973	3265.7718	3278.8255	1842.2819	2121.4765	26718.1208	151.6779
"TCGA-64-1676"	669.9993	1139.0682	1520.8708	358.2106	1046.2244	1593.4067	99.0795	1333.7629	1475.1071	1570.0295	962.3879	99.0795	408.8867	1683.6592	2486.6884	154.3909	336.039	579.2342	29.7931	191.9233	204.3948	4609.6232	347.1248	331.8818	576.4627	252.2024	266.0597	67782.1775	24.9431	2267.7434	7232.1129	9282.297	8240.2298	866.0798	1696.1307	9.7001	0	4.85	87.9937	2452.0452	1120.3608	139.2656	495.3977	776.0075	426.8041	888.9443	1028.9028	550.8268	2877.4636	1168.7158	105.3153	1100.2678	1316.8155	1818.5112	868.1584	3349.9967	10455.3155	514.7978	2570.5249	2087.5988	4580.5229	1204.8902	4130.1614	815.5008	557.7554	99696.1792	1908.147	1685.7377	268.7272	2768.6839	1035.1386	70064.471	203.0091
"TCGA-44-3919"	993.1707	697.561	704.9528	930.4065	985.3659	1011.8829	455.6098	6233.1707	1204.2276	467.9675	423.4146	275.122	498.2439	1600.3252	1764.2276	635.9317	702.1138	955.4407	84.2276	225.6911	124.5528	7309.9187	408.7805	722.6016	953.1707	88.7805	730.0813	52780.1626	125.2033	3570.7317	1626.0163	7796.4228	23221.3041	1243.9024	604.2276	57.7463	17.561	414.9593	93.6585	4242.9268	2126.5041	359.0244	1505.6911	1251.7073	786.9919	1730.4065	1296.9106	1746.9919	4443.5772	2319.5935	235.7724	4967.4797	1447.1545	1222.5724	2045.2033	2467.6423	6120	918.039	12184.065	5654.3089	2245.8537	1221.7886	563.252	1088.4553	1977.2358	26664.7154	760.6504	1607.4797	2893.1382	1866.9919	2138.4813	52905.3659	167.1545
"TCGA-55-1592"	851.733	833.3288	770.4868	1183.8195	1174.6174	912.6453	244.6669	4377.7505	1870.9978	406.7857	613.0204	135.3246	226.647	1053.9079	2206.0615	790.7665	1060.6741	1462.5882	131.5355	312.5998	359.6928	8475.9203	508.5498	1139.1624	1204.3888	140.4669	569.1752	39146.4266	257.3874	3064.0194	2156.8033	11929.1332	9765.2687	2215.5342	50.6114	35.9963	59.5428	293.3837	40.0561	3499.4939	1605.4909	185.6653	1406.5638	1252.5644	770.8089	2071.0075	1034.4212	1076.9131	5335.8486	2334.0785	241.1484	4758.8245	2370.3455	1257.0085	2203.8963	2384.1486	6473.6577	137.2191	15733.6487	5607.039	2633.4165	1656.9143	1160.273	1053.096	1804.6887	12306.4182	1149.9884	2124.0548	1061.1451	2425.8286	2110.5223	30325.1579	176.7556
"TCGA-38-4627"	895.6585	896.0233	1030.6713	681.1383	999.2703	1327.3477	337.1032	5094.1262	1457.1324	278.0007	421.0142	63.4805	96.2167	1659.9781	1729.6607	255.903	879.606	645.7497	42.3203	136.4466	292.9588	8020.0657	284.9325	1349.1426	713.2433	70.4123	592.4845	216886.9026	291.1346	20179.4965	1498.3583	10399.1244	15437.4206	6669.8285	232.0321	259.9927	215.9796	423.568	181.6855	5557.096	2500.9121	965.7059	1054.3597	873.039	1030.6457	1444.3634	3354.9799	1517.3294	3460.7807	1828.5297	265.5965	3764.3196	2135.3083	1414.9763	2016.7822	1214.5202	9060.5618	985.768	3206.1291	1891.6454	6097.7745	1390.0036	657.4243	758.4823	931.7767	30774.17	1636.9938	5159.066	6420.3101	2774.5348	2035.3885	66059.8322	112.3969
"TCGA-49-4507"	1621.5842	666.5514	2084.8322	1337.2535	767.9004	1945.0052	127.9834	3236.9422	1135.2473	2424.4206	2570.045	167.4161	141.0688	1102.3867	4101.6949	2212.1792	447.9419	517.8139	30.7852	333.1027	323.7634	7046.0048	294.7077	1898.651	673.4694	269.8028	671.7399	15080.9409	50.1557	5218.2636	4005.1885	2861.9855	4185.7489	3629.54	75.7523	5.5344	6.5721	324.8011	184.3653	2978.5541	3025.2508	108.267	2279.1422	1239.0176	1466.6205	1243.5144	1803.8741	603.9433	3978.2082	2339.6749	137.6686	1395.7108	1082.3798	1282.4628	1080.5949	1731.5808	11426.8419	259.7717	4575.2335	9551.0204	13561.0515	2190.9374	2965.4099	861.9855	633.3449	25004.8426	491.8713	5245.5898	275.2923	3273.2618	1911.1034	212505.7074	296.2297
"TCGA-05-4405"	508.9008	578.4771	848.93	729.557	797.808	956.0709	376.3745	2001.809	1200.0252	230.5957	257.1009	55.661	123.0506	1108.5821	962.1406	326.5049	1594.2908	959.49	82.1663	114.6352	320.7135	6987.4465	363.1219	3309.1804	799.7959	53.6731	573.176	80064.4078	6.6263	6995.398	4118.2532	5341.4704	19097.6221	415.4698	80.841	53.0105	19.8789	115.2978	106.6836	3489.4161	1786.4538	270.3535	1352.4304	1027.7411	909.1301	2127.0463	1617.4829	1127.7984	4861.7254	2121.7452	229.2704	3833.9844	1117.0969	1081.9708	1875.909	2077.3489	4048.6769	2750.5492	7624.8977	5571.4035	4194.4558	1320.6241	364.4472	813.0485	1575.0745	12804.6861	1245.0841	901.1785	2737.7736	2665.7655	2604.8034	18880.352	153.7304
"TCGA-05-4430"	670.8134	818.5008	1549.1292	1203.8278	986.2839	1323.9522	205.1037	6852.9506	1253.2695	628.0702	671.7703	100.1595	93.1707	1723.445	2717.3844	495.1037	907.815	542.2648	49.4418	143.5407	224.2424	5910.6858	279.7448	1606.6986	642.1053	155.0239	435.4067	103167.1451	225.1994	10326.3158	3377.3525	14973.8437	15631.563	1364.9123	397.1292	56.9346	29.6651	314.5136	52.9506	5015.311	2225.5183	401.5949	1479.7448	1030.303	1305.9011	1634.4498	2006.6986	1697.9266	2951.8341	1865.3907	516.1085	2594.8963	1638.0223	1483.681	3925.0399	2089.3142	8179.5853	630.9314	6111.6427	4998.4051	5120.5742	1279.7448	898.5646	661.882	945.1356	38781.4992	1071.7703	2677.193	2328.941	2526.3158	2264.4179	41926.3158	139.075
"TCGA-50-5072"	558.8915	835.1039	1396.0462	592.1478	831.4088	434.448	133.0254	2456.351	1424.4804	1440.1848	3165.8199	418.0139	182.6143	1200.4619	2259.5843	3795.5658	1730.254	522.4018	362.5866	602.3095	413.8568	11569.515	394.4573	1060.97	1648.037	762.1247	1095.612	74815.2425	95.1501	4510.8545	7716.3972	16668.3603	9884.0554	4122.8637	167.6674	55.4273	9.6998	258.6605	161.6628	4494.2263	2678.06	261.4319	2471.5935	1544.5727	1005.0808	1365.8199	1447.5751	1345.0346	3871.1316	2017.0901	238.7991	3236.4896	2287.9723	1517.2841	1758.8915	1328.8684	8015.2425	931.6259	4561.6628	6835.5658	5502.0785	1619.8614	1170.4388	1082.679	1784.7575	16667.8984	933.9492	4383.3718	3106.3372	6024.4804	1869.2841	92040.1848	177.8891
"TCGA-73-4658"	728.9988	1235.328	621.611	787.687	907.9402	918.5558	360.1841	5416.5708	1024.1657	402.7618	421.7491	90.3337	130.1669	1531.0702	1573.0725	432.6928	848.6766	705.4085	54.0852	157.0771	133.4868	6172.6122	337.1692	1034.5224	1187.5719	110.4718	439.0104	189576.5247	99.5397	6584.0046	3349.252	10194.4764	19101.2371	11197.9287	323.9356	90.3337	16.6858	188.7227	69.6203	3888.3774	1611.0472	651.3234	1664.557	1017.8366	957.9977	1737.0541	2257.7675	1681.2428	6949.9425	1819.3326	262.3705	2978.7112	2051.7606	2156.6456	1708.8608	1832.5662	7912.5432	1352.6582	5662.8308	4094.3613	5214.6145	1877.4453	1052.9344	825.0863	975.8343	39153.0495	1340.6214	2406.214	7484.3326	3747.9862	1917.7215	59971.8067	139.8159
"TCGA-64-1677"	923.4136	1097.3742	1148.2166	856.674	1288.8403	1820.8096	117.0678	3880.744	1738.512	2059.081	2168.4902	88.6214	752.7352	1665.2079	4924.5077	677.2429	268.0525	911.3786	79.8687	179.4311	489.0591	5931.0722	731.9475	2160.8315	594.0919	172.8665	692.5602	14799.7812	274.6171	1457.3304	8268.0525	10677.2429	15824.9234	1082.0569	117.0678	9.8468	2.1882	136.7615	43.7637	3326.0394	1789.9344	75.4923	1353.3917	768.0525	942.0131	824.9453	977.0241	925.6018	1632.3851	1780.0875	196.9365	1680.5252	824.9234	953.5011	2494.5295	1462.8009	9968.2713	265.8643	2729.7593	3527.3523	1829.3217	852.2976	1567.8337	714.442	677.2429	101570.0219	888.4026	723.1947	89.8359	3122.5383	2153.0853	93142.2319	132.3851
"TCGA-44-4112"	1050.2008	1134.1365	452.1285	859.8394	798.3936	1226.1566	330.9237	3138.5542	1156.2249	1234.1365	2460.241	112.8514	260.7068	2012.0482	2248.5944	540.996	833.7349	440.9639	160.241	97.1888	135.3414	7775.9036	225.7028	2703.6145	807.2289	208.0321	481.5261	68908.4337	212.8514	3446.1847	6108.8353	6658.2329	15863.3896	3232.9317	1252.2088	41.9799	7.6305	212.0482	24.8996	3793.1727	1752.6104	355.4217	1973.494	917.2691	996.7871	1121.6867	1469.4779	1799.5984	3959.8394	2896.3855	359.8394	2159.0361	1475.9036	1571.1365	2271.4859	2240.9639	4775.1004	1301.1928	4967.8715	4052.2088	6326.506	1054.2169	704.8193	816.0643	808.8353	44481.5261	1416.0643	2167.4699	1576.1647	4307.6305	2136.5221	72565.0602	125.3012
"TCGA-55-1594"	716.9811	970.5189	790.794	971.6981	1508.2547	879.7131	350.2358	3176.1006	1393.0818	923.7421	1623.0346	121.4623	287.3624	1601.4151	1681.6038	2223.8483	1608.0975	1282.6258	149.7642	367.1384	902.5157	11926.4937	626.1792	325.0786	835.2987	342.3742	804.6384	36729.9528	183.9623	1988.2075	2614.3868	14663.522	12927.6651	1055.4245	22.0126	15.3302	23.1918	325.8648	21.2264	3320.3616	3601.022	182.783	1755.1101	1982.7044	1283.4119	1584.9057	755.5031	1744.4969	1520.8333	1491.3522	493.7107	4510.2201	1141.6195	1845.3695	2538.9151	1592.7673	6924.5283	19291.3286	13515.3302	4113.2075	4403.695	3318.7893	753.5377	1148.978	1795.5975	14213.0503	1799.1352	549.5283	243.0936	7354.5597	1799.9214	49239.7799	125.7862
"TCGA-49-4486"	569.5557	769.0498	564.3489	291.5939	569.2232	1989.4817	76.1403	3228.8123	893.7336	168.905	333.4877	41.5613	59.9247	1205.9419	1921.1283	113.5055	495.7429	300.5711	9.9747	117.7015	69.4905	7072.0664	225.0959	1984.9665	865.8045	57.8533	691.2471	5319.5106	0.665	549.6063	8361.1309	7695.4855	7389.5912	804.9588	25.2693	9.9747	11.9696	25.9342	14.6296	5977.1762	1899.5165	57.5208	1576.0035	646.0284	1174.3554	1307.3514	1436.6901	1609.9175	2067.7565	2413.2138	104.0694	2775.2956	1916.7162	845.4594	1109.1873	2835.4764	10657.9732	236.0647	10778.6671	7222.6845	4059.0403	1354.2326	233.7406	571.5506	714.8539	60278.1447	1111.8472	6856.6128	121.6914	3350.8362	1323.1314	61003.9708	123.3539
"TCGA-49-4510"	1421.1367	981.1622	363.5409	805.2363	873.5632	1453.9464	516.6028	3313.2184	593.8697	108.5568	349.6169	41.507	29.1635	1966.7944	840.0383	87.9183	458.8123	393.3589	17.5607	65.4534	159.3231	5816.7305	142.401	1140.166	668.9017	13.0907	692.5287	21505.4278	7.6628	4163.4738	6204.6616	4729.5658	16998.9623	2588.4419	57.152	38.3142	9.2593	80.1405	20.1149	5576.3091	2839.0805	227.6501	1654.2146	1122.9246	1179.7573	2592.5926	1604.4061	1780.3321	3906.4496	2994.2529	193.4866	1896.871	1559.8052	1213.7612	1715.5172	1760.2171	8414.9457	412.8321	7174.9681	14497.765	4272.6692	1379.6296	361.1111	724.4572	1412.1967	62315.4534	842.9119	1832.6948	1530.0351	2535.1213	1787.9151	37134.0996	92.6022
"TCGA-05-4410"	480.8869	428.1346	679.0596	750.7645	622.3242	1657.1177	357.0336	3532.8746	1252.2936	194.1896	347.0948	97.0948	87.2859	1652.1407	1342.5076	741.2232	721.7125	1029.8165	177.37	207.1865	123.8532	6189.6024	555.8104	1667.4312	1382.263	123.0887	756.1162	34350.1529	2.2936	2273.7003	2243.1193	10370.7951	11455.6193	474.0061	70.3364	76.2309	15.2905	190.367	189.6024	4653.6697	3036.6972	213.3028	2467.1254	1256.1162	769.1131	2190.367	962.5382	1216.3609	2453.3639	2573.3945	143.7309	5568.0428	835.7034	1363.1651	1576.4526	1918.9602	5231.6514	5409.0061	10733.1804	6496.1774	2789.7554	2673.5474	191.1315	942.6606	2574.9235	17949.5413	961.7737	751.5291	2198.0734	1746.9419	1847.0948	30124.6177	139.1437
"TCGA-05-4434"	1492.652	758.0827	792.4463	946.8686	1063.3054	871.1372	258.648	2598.6887	1515.035	915.442	1662.4463	178.6118	142.3604	1314.0402	2560.2532	1524.671	965.6342	1113.0454	166.8551	230.6127	232.1953	6866.8325	404.0244	2422.1117	1313.5881	262.7176	419.3986	133929.9118	101.7409	10626.0457	3720.5517	6695.2295	8242.3152	6590.7755	646.1678	41.8268	23.9656	171.8291	1242.1433	3188.7859	2277.1874	429.5727	940.7642	1102.4192	610.8976	1298.8922	1427.3118	1513.6785	3860.728	1893.2851	379.6066	1933.9815	1600.4544	1812.2993	1657.6984	2526.1135	7957.721	1098.5711	3964.2776	3815.7359	5697.4904	2028.4875	812.1185	654.5331	937.3728	22864.5716	1102.1931	5670.3595	2901.9783	3317.6577	1528.8266	98936.9206	125.7065
"TCGA-35-5375"	701.4428	1336.293	1727.525	443.9512	1869.0344	1374.0289	118.7569	3445.061	1169.8113	3394.0067	2815.7603	211.9867	1404.495	2064.3729	10874.5838	384.5172	360.7103	508.3241	55.4939	259.7114	485.0166	11310.7658	533.8513	1923.4184	457.2697	279.6892	936.737	27596.0044	24.4173	2869.0344	1880.1332	4095.4495	4569.3563	2542.7303	26.6371	24.4173	9.9889	41.0655	24.4173	2224.1953	2236.404	204.2175	795.7825	897.8912	940.0666	489.4562	1700.333	544.9501	2175.3607	1771.3651	256.3818	1661.4872	1499.2675	961.7314	1884.5727	952.2752	18472.808	139.8335	2188.6792	610.4329	1412.8746	1186.4595	4478.3574	570.4772	782.4639	188229.7447	1028.8568	2322.9745	177.192	3459.4895	1302.9967	149779.1343	130.9656
"TCGA-73-4659"	483.9662	1071.73	1093.6203	1473.2068	712.4473	1070.0612	185.443	2441.1392	1043.2489	625.3165	1526.7932	128.27	243.4852	1674.2616	3033.5443	1484.9515	1036.0759	749.789	74.8945	329.1139	196.8354	6496.4135	388.3966	1406.3291	1443.4599	215.1899	519.6203	35975.3165	34.3882	5656.5401	4459.9156	4733.5443	13226.135	2784.1772	40.5063	43.2489	99.3671	196.8354	18.1435	6437.3418	2089.0295	822.3629	1630.5907	1049.5781	835.654	3753.1646	2019.6203	2026.1603	2404.6414	2036.9198	509.4937	2888.6076	1323.4747	1668.1118	1458.8608	1799.3671	8758.4388	522.3544	3985.2321	3614.9789	4122.5738	2139.4515	811.8143	747.6793	1643.6709	49166.0338	855.9072	2070.4641	1037.7384	2607.5949	2077.3903	75851.8987	193.8819
"TCGA-44-2665"	701.6129	613.852	693.9991	836.8121	787.9507	661.7125	197.8178	3641.3662	1859.5825	396.1101	581.1195	69.26	61.1954	1103.4156	1251.8975	304.4782	1100.0949	1202.5617	102.9412	219.1651	277.9886	5545.0664	421.7268	1656.5465	1527.0398	77.7989	568.3112	159534.63	108.1594	15418.4061	1750.9488	10259.0133	12119.5304	1512.334	770.3985	115.2751	43.1689	333.4915	220.1139	2922.2011	1961.1006	673.6243	1364.8008	893.7381	615.7495	1880.4554	2336.3378	1687.8558	3172.2011	1658.9184	285.1044	2690.7021	1345.8824	2501.2903	1755.2182	1266.6034	5085.8634	773.7144	2430.74	2279.8861	7807.8748	912.2391	689.7533	738.6148	727.2296	27826.3757	1254.7438	2252.3719	981.2998	3307.4004	2068.3112	60828.7476	81.1195
"TCGA-64-1678"	1272.7698	1157.5743	932.4655	852.2594	950.597	924.767	1700.7727	1505.9705	747.366	5997.6586	6263.6385	142.3554	500.576	3954.1091	4408.3353	878.2955	494.4978	406.4622	434.5587	265.9799	2187.778	8343.7134	373.683	352.1424	319.3631	602.2009	797.9396	28991.8052	308.1246	1196.9094	11943.8071	3582.2992	16604.9637	1515.336	45.8909	4.6827	4.6827	433.6221	19.6675	1815.0316	1691.4072	464.5282	692.1096	587.2161	588.1527	837.2746	802.6223	1074.2215	434.5587	1507.8436	465.4648	1947.085	903.7509	2076.029	1535.0035	1308.3587	9955.5139	86.1625	2671.0372	1787.8717	2232.7324	420.5104	3105.5959	424.2566	912.1985	196453.2896	922.5006	211.66	47.2302	8428.0028	1098.5718	85849.6839	182.8612
"TCGA-35-4122"	2123.1156	906.5327	1400.608	871.8593	1391.9598	2229.201	109.5477	6668.8442	1539.6985	3218.0905	2947.7387	867.8392	374.6181	1705.5276	3948.7437	1122.3769	325.6281	239.6985	45.7286	271.3568	377.3869	8301.5075	200.5025	702.0101	679.397	397.4874	263.8191	31677.8894	24.6231	4190.9548	4566.3317	6138.6935	10011.0402	4869.8492	100	16.5829	3.0151	278.8945	108.5427	2120.1005	6275.3769	540.7035	1306.5327	716.5829	540.7035	544.2211	2020.1005	1156.2814	2639.196	1612.5628	524.1206	2110.5528	2356.5427	2010.7789	2387.9397	2265.3266	13492.9648	211.5578	2088.9447	956.2814	3050.2513	1572.8643	3256.7839	589.9497	558.2915	83105.5276	2332.6633	5173.3668	373.201	6475.8794	1330.6533	118146.7337	79.8995
"TCGA-55-1596"	981.0539	733.5702	1131.3203	678.508	2698.0462	658.881	71.048	4026.0509	2856.1279	1770.8703	1304.3221	184.1326	480.669	1273.5346	4245.7075	2633.8544	1480.1658	1491.415	194.1978	766.1338	828.3008	3952.6347	999.4079	921.2552	808.1705	369.4494	489.0468	9001.7762	19.5382	3368.8573	4315.5713	13870.9295	8716.9864	429.2481	15.9858	5.9207	2.9603	975.7253	30.1954	2988.1587	1540.5565	91.7703	1111.9005	1476.6134	719.3606	997.0397	1593.8425	2105.3878	2257.5488	1754.2925	425.1036	3746.0036	1583.7241	1660.4914	2138.5435	1343.9905	6492.5992	27.8271	26116.045	2991.7111	3754.8845	3342.8064	1360.5684	541.7407	1210.1835	14620.4855	769.0941	352.8715	333.8899	5957.9633	1893.9846	56542.3327	215.5121
"TCGA-49-4487"	338.6689	1012.6369	942.5779	1331.9292	559.3934	842.9402	839.9326	3442.2915	789.385	2281.3816	2410.278	430.4971	221.6007	2255.2654	2411.1205	1754.5156	727.8854	931.7607	130.5813	237.5737	1187.8686	5805.3917	333.6142	2360.5729	615.8382	302.4431	1488.6268	63780.1179	49.7051	7311.7102	3786.8576	4212.2999	7237.5653	4830.6655	155.0126	32.8559	10.952	102.7801	243.4709	4526.5375	2539.1744	281.3816	3235.0463	1891.3227	750.6318	1483.572	1204.7178	796.1247	4609.0986	2323.5046	251.8955	2846.6723	1675.5265	1051.2721	946.0826	1490.3117	10170.1769	627.6327	9740.5223	5341.1963	4116.2595	1576.2426	712.7211	657.1188	1302.4431	27907.3294	521.4827	971.3564	493.6563	2336.1415	1679.0227	82811.289	132.2662
"TCGA-49-4512"	845.5035	1151.422	439.4696	342.0446	701.7679	1809.1314	215.9877	10058.4166	601.8447	374.3274	618.7548	83.0131	185.073	707.1483	677.94	876.6949	445.0423	588.7779	33.0515	155.2652	179.8616	4412.7594	218.2936	1160.6457	803.2283	69.9462	757.1099	76987.7018	53.8048	15778.6318	3840.123	14132.9746	5857.794	521.1376	103.7663	148.3474	3.0746	43.8125	176.7871	5707.1483	1736.3566	366.641	1794.0046	883.9354	1192.9285	2009.9923	1974.6349	2240.5842	6148.3474	2133.7433	96.0799	2123.751	2845.2498	1054.6656	981.5527	2309.7617	5804.7656	1741.691	7350.4996	3418.1399	6542.6595	2704.8424	1818.6011	628.7471	1219.0623	25742.5058	364.3351	963.1053	3597.279	2246.7333	2501.153	58514.2198	122.9823
"TCGA-05-4417"	521.0104	982.2952	290.8382	1015.9702	1157.6596	991.2159	512.7505	2188.2436	871.7393	371.6964	543.2486	62.2671	83.9399	1256.7787	1636.0997	956.7403	918.7573	951.1616	108.6497	135.971	158.8446	6653.0484	375.5087	1268.8509	990.5551	56.5487	520.375	101447.0746	26.0505	12620.5234	2715.6078	7196.297	10721.9552	3848.4876	1130.3384	80.6931	31.1335	304.9817	110.5559	3793.2097	1873.0959	449.2126	1711.0743	1664.0563	880.6346	1848.3161	1991.9116	2287.998	3751.2747	1786.6844	374.2379	3930.4515	1357.5434	1451.2045	1356.5331	1315.2335	5832.7747	1159.5404	4584.256	3696.6322	4273.5559	1231.9989	952.4324	747.8405	1313.3274	26376.4681	1143.6813	1425.7894	6369.0914	2470.3517	2038.9296	51452.9518	130.2526
