"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"MRE11A"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-21-1076"	863.8702	1087.0598	857.1468	1084.2897	896.7155	405.4769	490.7004	3187.9699	1164.2264	1114.7606	944.9941	554.4123	383.0431	1340.7202	3034.0324	1111.7649	1196.2802	1181.2426	195.4887	213.2964	416.3039	6260.7835	503.3637	1894.7368	879.3035	229.5212	1302.7305	61190.3443	80.7281	7819.9446	2123.0708	9826.6719	10599.4618	6123.4666	67.2734	53.8188	7.5188	89.4341	96.5572	3451.9193	3461.021	586.0704	2895.1326	2131.3811	736.4464	1125.8409	1791.0566	1083.4982	3505.3423	1916.3989	189.5528	3587.6533	769.2917	1753.0194	1549.6636	1924.812	9216.8579	1347.7998	1645.4294	1954.0958	3341.9074	1853.5813	801.3455	737.2378	1498.615	18791.4523	992.0855	2125.4452	3048.6743	3710.7242	1702.7701	56727.7404	123.8623
"TCGA-21-1080"	1200.5627	422.8296	980.0482	940.9164	1356.5113	797.1905	173.6334	1932.4759	1843.2476	1761.254	1518.4887	328.7781	313.4405	960.209	4308.2797	2044.2404	337.2186	638.6656	152.7331	389.8714	506.4309	8906.3505	579.1801	1816.3183	2131.8328	227.09	1107.717	12885.0482	165.5949	5106.1093	1916.8006	5066.3183	7286.5474	1081.9936	17.283	10.8521	132.2347	45.8199	36.9775	4475.4823	5156.3505	112.5402	4196.1415	1573.955	915.1929	1050.6431	2080.7878	1413.5852	2180.0643	1786.5756	454.582	3144.6945	1387.6608	942.283	1985.5305	1324.7588	13672.8296	5096.8207	3551.4469	2215.836	2539.3891	1612.9421	3438.9068	1642.283	2383.0386	47032.5563	1360.5305	3546.2219	237.0137	1848.4727	1646.7042	93132.2387	301.8489
"TCGA-34-2608"	1116.3293	780.9267	1694.7728	928.8349	800	996.2573	318.8484	3482.1413	1342.3302	595.5915	509.9415	133.8731	94.9456	1093.2973	2054.8808	638.2222	1003.6887	918.0387	66.5767	173.0994	232.4786	6629.9595	361.3135	1664.0576	756.0954	158.7045	680.8817	99702.744	100.045	15520.2879	683.4008	9650.3824	11183.0607	2984.7953	83.8507	64.4175	15.8345	230.3194	318.4885	4372.1098	3000.6298	641.2955	1874.9438	2458.2996	1197.6608	1181.8264	1913.8102	1453.1714	2264.6874	1841.1156	351.5969	3860.3689	1463.5753	1496.9141	1747.9082	1922.807	8728.0252	2038.6793	3877.283	1420.7827	7282.771	2357.5349	1273.9541	751.417	1260.2789	36866.9366	1303.1039	3388.2141	1268.682	3191.363	1641.7454	54407.1975	114.0801
"TCGA-60-2698"	1146.1864	961.5113	1059.8199	733.7571	951.2712	903.577	112.6412	3687.1469	887.0056	1671.6102	1888.4181	614.7599	117.7154	1705.1554	3573.7994	3393.1744	1006.3559	612.6412	298.7288	300.4944	376.4124	6375.3531	379.5904	618.6441	1134.1808	360.1695	533.5452	27782.1328	28.6017	3687.1469	1930.791	6019.0678	10108.0155	10364.4068	61.4407	19.774	32.839	212.9237	51.5537	2986.2288	5597.4576	337.2175	1445.6215	1333.3333	981.9915	1502.1186	1066.0311	1967.161	3574.5056	1715.7486	241.5254	3045.904	1228.5946	1575.7345	1555.791	2220.6921	10006.709	3988.9831	2952.6836	2823.7994	4326.2712	1120.4096	779.661	805.791	1246.822	27524.0113	2267.6554	6165.2542	702.9061	2338.2768	2485.8192	117758.8277	184.6751
"TCGA-60-2712"	1351.7844	780.772	1152.9872	2352.7208	1212.3608	686.1222	11676.2043	1952.7625	1597.3364	1552.3879	1388.4091	206.4301	130.4089	1613.5678	2131.7241	1402.5679	650.0884	1197.378	230.9853	256.3729	384.9755	9015.5031	627.198	950.5775	1353.8654	175.6321	852.7729	78909.1666	84.4865	11649.9844	794.5063	7678.2853	6927.0294	15423.161	67.0066	38.2895	9.5724	79.0761	177.2968	4858.1833	2981.9998	473.2078	2093.0184	2297.3676	981.7917	1996.4624	2830.5067	1414.2129	5600.6659	1679.3258	477.7859	2882.1142	1000.104	1343.4315	1779.6275	1798.7722	12337.1137	1635.2055	1546.5612	2033.9195	3011.5493	1563.2088	777.4425	856.5186	1391.7386	70506.7111	1476.6413	2781.8125	634.0568	2129.2269	2417.6256	89721.3609	199.3549
"TCGA-60-2725"	568.8038	986.3394	2072.9891	992.0894	904.5131	1432.2268	1902.3524	2480.8869	2012.9286	1092.4925	1320.7218	106.1531	183.1318	2002.3133	3560.9949	1957.5078	1083.6464	858.0711	178.2488	291.9211	798.8022	7426.7378	407.3626	577.2076	877.0902	415.7664	896.1093	47694.1552	28.3075	6754.877	1266.3183	5749.0761	10623.2382	7004.3368	157.4605	58.8265	8.8461	115.4415	233.9792	2542.3673	2460.0986	502.4581	1959.852	1751.0842	1428.6441	1256.5876	1778.0648	1376.4521	4035.1455	1800.6223	337.0362	4207.6444	1241.0627	1740.1283	1215.8955	2434.0026	10218.5649	2088.1071	1886.4294	1991.2556	2566.694	1309.6641	1093.8195	1095.1464	1352.1254	22071.0032	1569.7393	3840.9738	672.3916	4284.1631	2132.7931	65741.5127	137.9991
"TCGA-66-2768"	4837.6231	931.681	2909.6155	525.2622	1370.5116	1894.1214	88.3381	4572.6088	879.2501	3070.8611	2091.8335	318.3985	358.3031	705.4337	2320.6228	2474.1468	514.1405	189.7045	117.5723	288.211	527.1687	6712.7423	166.5078	1076.5809	999.6822	789.6409	726.7239	5967.5882	20.6546	5160.7881	1370.5116	1906.8955	10968.8402	7196.6953	29.2342	59.4217	1.5888	801.3982	214.1722	3947.5691	2656.4983	626.9463	2422.6247	1004.1309	927.2323	1064.1881	1701.6206	1442.326	2979.3454	1593.2634	632.9838	3541.1503	1478.4334	2393.4287	1993.9625	3115.348	11829.0435	2565.6022	2357.8011	882.4277	4458.2142	1831.2679	2792.5008	461.3918	1052.1131	17415.9517	911.6619	7400.0636	28.6527	3296.4728	838.2587	84417.5405	168.7321
"TCGA-33-4547"	337.8135	786.4582	2786.1146	1299.385	1906.2967	905.1318	360.8664	1900.9768	2096.0397	1638.0851	787.3449	190.6297	238.9742	1300.715	3177.7522	1496.5094	1068.8561	1104.3221	241.612	369.2896	588.292	8340.2695	476.5742	1507.3043	630.8512	361.753	499.1837	58756.4961	52.3123	3787.3238	815.2743	6359.051	7675.6946	2679.0118	176.4433	31.0327	4.8766	150.2871	276.1914	4060.4119	2209.5308	278.408	1745.3697	2597.8833	831.234	1951.9591	2112.886	1428.3925	2012.2513	2564.501	518.69	3727.0316	821.9242	2008.8731	1167.2742	2330.5585	15760.1967	1358.3383	3411.8277	1998.0649	5801.7917	1985.6518	5819.5247	843.6471	1299.385	24218.3907	2293.7625	1784.8257	1421.5343	4380.0491	1416.4006	75813.8612	124.5743
"TCGA-66-2785"	1610.998	627.2912	715.1242	1762.5255	864.3585	692.6558	137.6782	2732.7902	1646.8432	899.7963	1037.0672	195.5193	211.3971	1946.2322	3012.22	2984.7291	728.7169	805.2912	79.0224	320.1629	756.8228	5205.2953	424.8473	437.4745	323.8289	394.7047	805.7026	37711.609	10.998	3945.0102	2953.9715	6615.8859	5782.8839	2102.2403	663.1365	6.9246	49.6945	96.1303	1760.8961	3981.6701	3485.947	116.0896	2144.6029	814.2566	1225.6619	2118.1263	1382.0774	2343.3809	2510.7943	1839.5112	408.1466	1624.4399	1077.6008	2880.1955	2087.9837	1495.723	12316.9043	667.2057	6707.1283	2670.4684	2828.9206	1195.5193	983.2994	579.2261	1158.0448	27755.6008	1054.9898	557.2301	172.4521	3761.3035	8206.0407	188769.0428	142.2118
"TCGA-37-3792"	980.4448	1473.1595	1595.6288	1114.2638	939.8006	774.4977	102.7607	6429.0644	2404.1411	2727.3773	3834.3558	688.6503	375.0613	3017.638	4088.1902	4721.7101	1409.5092	722.3926	287.5767	323.6196	404.1411	7419.4785	487.3466	1953.2209	402.6074	381.9018	978.911	18788.3436	15.3374	25805.2147	1467.7914	7376.1503	5444.7699	6619.6319	50.9969	3.8344	0.3834	412.1933	108.5123	2475.0767	1877.3006	707.4387	1652.6074	781.4417	761.5031	617.3313	1702.454	981.9785	13567.8681	1854.2945	276.8405	2010.7362	788.3014	2080.9854	2093.5583	1180.9816	8851.227	1073.2285	2465.1074	560.5828	12629.9847	1004.6012	570.9356	1248.8497	832.0552	73031.0583	5455.138	4075.5368	121.8367	4760.3528	1645.3106	198133.0521	202.0706
"TCGA-22-1011"	1094.7658	646.281	851.8623	1203.8567	1367.4931	468.0055	655.0964	2268.3196	1592.8375	872.1763	1203.8567	107.989	254.3526	1615.978	4029.2011	2139.2562	874.9311	1336.0882	214.876	306.3361	488.1543	5431.9559	388.4298	1965.8402	683.7466	342.6997	781.8182	19225.3444	66.1157	4224.7934	996.1433	20434.1598	7505.7355	1478.7879	93.6639	29.7521	9.9174	137.1901	100.2755	4256.7493	2267.2176	400	1623.6915	2687.0523	1483.7466	1723.416	783.4711	1460.0551	7572.4518	1965.8402	246.281	3838.5675	1016.6116	1794.4683	2347.6584	1359.7796	24013.2231	3922.843	2260.6061	1082.0937	3812.6722	1381.2672	1316.8044	657.8512	1423.1405	15558.6777	1425.3444	2189.5317	1543.2948	2795.5923	2237.978	134429.7521	190.6336
"TCGA-60-2703"	528.9079	523.1977	1282.9622	1409.7074	856.531	366.6096	349.7502	3998.5724	2180.5853	2385.439	1822.9836	333.3333	97.3376	1637.4019	4370.4497	4292.0343	1072.8051	1802.2841	338.3298	692.3626	738.0443	9401.142	850.8208	2112.7766	1047.1092	307.6374	599.5717	275051.3919	1705.9243	9844.3969	1149.1792	6192.7195	15787.252	19114.2041	81.3704	44.9679	9.9929	127.7659	82.798	3145.6103	1763.0264	1541.7559	1351.1777	2330.4782	925.0535	1187.0093	1618.1299	1174.1613	3119.2006	1765.1677	498.2156	8220.5567	894.7609	1241.3704	1950.7495	1246.2527	13625.9814	37804.5967	2777.3019	855.8173	2428.9793	2413.2762	548.1799	990.7209	2813.7045	24894.3612	1613.1335	3345.4675	676.06	1925.7673	1530.3355	159225.5532	214.1328
"TCGA-60-2713"	816.0313	862.9096	845.8222	970.8457	590.6099	751.1799	585.9799	2739.2028	1562.613	768.2847	659.7699	225.4214	295.0358	963.6114	2963.7561	1834.4903	937.8572	1138.6819	167.5468	379.9465	367.5034	5734.5005	506.4024	529.2628	759.0248	349.5623	833.1042	109386.9638	454.6046	13234.4643	873.3271	7102.0762	9957.5693	7491.572	28.0692	44.5634	6.6556	51.5084	86.2331	3283.8024	2928.742	388.3383	2378.9337	3416.9138	1279.8958	1407.2199	943.6447	1288.577	2618.8237	1947.7682	282.4278	3607.6105	1468.8563	2036.4957	1734.5005	1077.3349	16533.0247	2480.1881	1217.3913	679.7367	4121.8259	2082.0372	994.8636	1116.9789	1143.8906	16435.7954	1330.2467	2247.868	1453.1375	3396.079	2200.9694	121041.742	202.2716
"TCGA-66-2770"	1458.7559	750.169	1258.8235	798.1744	802.9074	904.3712	599.0534	1844.4895	1089.9256	1359.0264	1852.9412	196.0784	407.4882	902.2989	2842.7992	1840.9533	1318.4584	1238.3367	315.7539	280.595	389.4523	7388.1001	505.7471	2894.8614	1467.2076	412.4408	769.1007	55646.0446	41.2441	7851.5889	1973.9689	2629.4794	6522.6133	1315.4158	47.6673	47.6673	10.4801	49.0196	39.8918	3128.8032	2667.3428	1301.8932	1936.7816	2134.5504	1536.8492	1560.1758	1021.6362	1225.1521	2623.0561	1617.6471	204.8682	3014.5368	920.2164	1522.7721	1740.7032	1107.8431	5615.6187	1589.9155	1890.8046	985.4632	9281.6092	2089.9256	826.572	693.3739	1131.8458	22215.0101	1525.355	788.0325	123817.4611	2375.9297	1913.117	65702.5017	175.1183
"TCGA-33-4566"	1597.166	1147.7733	768.6235	1461.5385	988.8664	322.8745	66.8016	1235.83	1265.1822	2990.8907	3531.3765	318.8259	270.8502	1627.5304	4402.834	4660.7692	920.0405	484.8178	172.0648	519.2308	569.8381	9378.5425	534.413	2315.7895	1107.2874	901.8219	695.3441	11978.7449	5.0607	3546.5587	2602.2267	1913.9676	13143.664	4960.5263	157.8947	2.0243	3.0364	319.8381	217.6113	3520.2429	1115.3846	190.2834	2343.1174	1345.1417	1903.8462	682.1862	1970.6478	873.4818	883.6032	1613.3603	366.3968	2162.9555	730.7692	2608.4413	2337.0445	1958.502	13773.2794	1270.2429	1805.668	1346.1538	5408.9069	914.9798	553.6437	514.17	1564.7773	98306.6802	441.2955	5086.0324	38.6943	3611.336	673.0769	206410.9312	220.6478
"TCGA-66-2788"	1199.0153	612.9	953.7883	844.904	816.1497	868.6795	222.9444	3277.5972	1782.7671	1005.613	1043.4269	142.196	196.6204	1242.3437	2832.8902	1565.2664	986.7061	959.1334	120.9257	413.9833	320.2363	7935.0074	431.3146	491.5805	884.2935	238.3063	659.7735	82631.2161	314.7218	9445.5933	1421.9596	10496.5042	7649.0241	6257.804	56.7208	40.5711	9.4535	379.3205	123.289	5221.0734	2605.613	444.707	2006.1054	2219.5963	1045.0025	1263.2201	1282.9148	1039.4879	3425.7016	1696.8981	360.4136	4331.6593	1259.868	2327.74	1912.7523	1996.6519	10325.16	2268.4313	2453.1758	935.4998	6355.4899	1849.3353	3573.806	761.0044	1100.5416	20803.9389	2030.9207	4121.7134	1387.5254	3537.5677	1243.1315	137602.3634	161.4968
"TCGA-37-4141"	920.9354	775.1832	915.9621	876.5612	1172.503	1210.1699	80.5562	5027.9387	2268.5459	2983.9946	1725.8152	153.9444	474.8654	875.1958	6529.4935	1089.1136	672.7812	1012.4145	220.1643	780.986	809.3172	9380.3654	937.3197	2287.3196	976.5738	303.4513	566.6245	32823.2575	564.9178	1796.8139	1583.4764	6565.6755	14020.832	1137.6863	29.0139	20.1391	1.7067	18.091	26.9659	2471.3018	1789.9871	407.2187	1166.0176	2039.848	749.5827	1006.2704	2590.0882	1444.551	3992.313	1652.7684	632.5031	4101.8832	2021.9755	886.2996	8641.0229	1925.4991	12989.0123	23.2111	1370.1389	575.4993	7678.444	845.8406	1144.1718	1051.6686	1699.532	37422.1318	1997.5219	915.474	438.8711	4999.9488	1842.5535	50124.7598	189.7953
