"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"MRE11A"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-13-1512"	798.0319	925.9606	565.881	659.3252	596.5323	1280.6467	44.5173	3337.8632	1863.1678	3275.0703	2412.8397	1118.0881	478.299	780.6935	3626.523	2245.2999	1203.3739	335.0515	407.2165	351.9213	320.5248	8727.2727	569.8219	2698.2193	2165.4171	607.7788	1446.1106	22421.7432	1681.3496	27562.3243	9712.746	4410.4967	3650.881	264.2924	186.0356	119.0253	8.9035	41.2371	526.7104	4387.5351	3094.1893	862.2306	5601.687	722.1181	2234.3018	1419.8688	1130.2718	1832.7085	2480.7873	1206.9916	241.7994	1738.5192	3889.4096	940.0656	682.7554	969.5408	12526.1903	205.2484	3214.1518	1412.3711	4708.06	1145.2671	2567.4789	778.3505	1583.88	16482.6617	1483.1303	535.6139	6.7994	1953.1396	4083.88	55385.1921	134.9578
"TCGA-24-1545"	972.3828	470.6066	402.1696	1505.3288	578.5873	1152.7161	298.3384	5759.7123	1955.3411	675.4359	1181.1084	224.3104	116.6136	2381.4195	1114.5945	2270.3163	1330.5559	929.2462	76.2544	219.8576	195.9237	7897.897	654.0068	2210.5429	1432.6923	172.2682	850.4871	93403.8547	678.2189	12219.9077	2877.9081	3745.6498	7168.3344	1422.6734	2936.6295	46.7545	945.666	56.2168	123.2872	4375.1661	3936.2858	245.7396	3638.2257	1136.5803	1458.5742	2889.875	2315.7406	2792.4697	4679.0705	1654.0972	291.9375	2569.2725	2117.0338	1097.184	1436.3102	1335.0087	8879.1855	514.297	6536.1714	1583.5313	3090.2515	1767.2098	581.092	413.5549	1699.0261	19786.9051	1174.4292	1008.8402	357.2909	2903.5117	4751.9575	93718.0563	121.8957
"TCGA-24-1556"	1193.1366	650.003	508.1898	1135.6647	470.9375	1031.3222	392.8041	2311.9397	590.6311	2186.3089	1314.4927	451.226	807.2552	1585.9407	5338.7164	3828.8381	797.4826	391.6167	243.8995	1125.4527	595.3809	6751.0539	289.2596	863.5041	1201.4487	233.4501	1064.4185	12851.1548	223.9506	4642.8783	3150.9826	3452.1166	5151.6761	816.7191	1745.7698	268.9925	587.5438	95.7074	63.1716	3468.9782	3512.2009	678.7389	2360.8621	1602.0899	1202.1611	2958.1428	1415.1873	2048.3287	5197.1739	1862.3761	212.7887	5000.7718	2375.8238	556.5398	1902.9864	640.0285	9727.7207	612.4633	3867.957	3158.5822	3182.3309	852.5797	4227.5129	736.4484	1213.5605	35661.818	393.9916	550.7332	101.3834	1617.7641	2648.9295	70879.5345	340.7944
"TCGA-24-1567"	940.5444	564.1117	652.4033	1440.5444	1087.7507	1024.6884	623.5673	3972.063	1536.8911	1163.6819	1078.7966	335.2436	262.6254	826.2894	3262.5358	4086.5401	750	638.9685	211.3181	291.1891	220.9885	12488.8968	488.5387	3750.3582	691.2607	209.8854	1285.1003	4695.2006	2141.8338	8565.1862	2028.6533	7174.0688	7080.1612	122.1347	2112.8223	1210.6447	423.7106	12.894	3.2235	4049.0688	4942.6934	56.2321	4026.8625	2597.063	2009.6705	1521.49	405.8023	1452.0057	8228.8682	2639.4628	342.4069	1844.1977	1823.7822	1836.0924	1676.2178	702.3639	27148.9971	540.1039	3141.8338	2943.0516	2625.3582	2924.4269	473.8539	652.937	4676.2178	19007.5215	911.1748	251.0745	387.6039	3418.3381	2038.3238	104620.702	195.9169
"TCGA-36-1578"	1613.2299	433.5521	437.0693	1909.381	391.4012	2013.8386	428.078	2821.647	1449.2793	462.5651	531.2656	309.2891	68.0299	1726.5447	1464.8806	638.9255	890.3693	1115.6303	56.6574	227.9981	186.3946	8930.5167	283.2869	6854.448	1615.4196	138.4958	749.6839	13630.0684	62.1315	1347.1866	4584.321	4431.5924	4570.8546	592.8497	11726.1615	105.1035	1326.6585	99.082	55.5626	2115.4825	4547.3705	208.2911	2940.1621	833.4383	2664.539	4490.4394	1790.3184	2964.5221	6174.5595	2640.2886	246.3364	7794.3583	3978.8808	1362.9822	1054.5936	2018.3165	21863.1793	457.9121	5467.3002	6898.7886	2500.0411	585.7333	665.3821	537.5608	1969.8703	33367.638	959.0698	2444.2048	191.3706	2603.2286	3721.8697	75701.6483	138.4958
"TCGA-25-1626"	897.8205	478.1583	741.436	1294.8391	513.6334	752.8937	311.3501	4118.5017	1360.1283	794.792	675.5354	382.3002	64.2853	913.6711	1755.2599	1832.9993	1354.8448	949.9009	184.9231	194.7354	250.5897	8138.5036	408.3404	3181.4322	900.0849	124.5401	721.9549	187331.2577	1019.7188	22116.4261	2340.2208	4991.0369	8116.06	23412.02	1654.8731	121.4643	214.7372	84.1589	180.7718	4479.6679	6535.3335	673.6485	2277.5734	1989.2443	1734.1259	2497.9715	2518.3508	1658.647	15949.8066	1590.7161	271.7237	3141.051	1969.9972	1146.1006	1577.1299	1011.7936	9060.8548	757.796	5134.0693	2209.265	4937.4469	1786.5836	855.5524	495.5184	1810.7369	15185.5835	1922.4455	1723.5588	1223.3569	2764.0343	2381.719	83783.7532	141.1454
"TCGA-09-1666"	713.2075	491.6981	1605.5774	1066.0377	313.5849	1285.083	178.1132	4546.7925	1591.6981	708.3019	1915.8491	395.8491	290.0264	1363.0189	4423.3962	2527.7962	1051.3208	643.7736	150.9434	593.2075	222.2642	11854.3396	455.8491	2903.7736	1825.6604	232.4528	1268.3019	5971.3208	1325.6604	2515.0943	1827.9245	5444.5283	8094.3132	171.6981	3321.5094	13.2075	579.2453	27.1698	89.434	4334.3396	4138.8679	360	3047.9245	1582.6415	2128.3019	1562.6415	2956.2264	2112.8302	3118.4906	2307.4642	360.3774	3839.6226	1936.9811	1191.1283	1535.8491	295.4717	18477.7358	338.8415	3606.0377	2953.5849	2211.3208	1036.6038	1118.1132	938.1132	1010.9434	48611.3208	435.0943	1765.283	106.5698	4982.2642	2714.6792	85403.7736	184.9057
"TCGA-29-1696"	802.1356	490.5355	480.0841	776.5734	1520.4659	1615.4991	215.4991	3170.3608	975.5703	2096.101	1053.8748	78.6281	133.6515	1074.907	2475.6512	531.3962	1038.3433	403.171	157.2561	102.896	177.6412	10730.3025	390.8753	295.0979	696.3275	132.9882	425.1739	2001.6179	1537.9388	1237.0167	7335.0591	1957.9356	6773.4315	267.5942	1317.5862	608.7267	130.3996	78.6281	209.0277	3023.459	2742.5983	39.4758	1089.1442	813.7842	1679.6635	2903.0901	872.6743	1398.8028	5823.006	1462.3297	212.587	1288.7882	2549.4257	734.4863	1339.9126	216.1463	11993.5286	263.7114	1887.3969	2948.7138	3701.99	475.9748	1187.5101	596.9908	450.4126	87790.3252	868.4679	634.2016	23.2519	6010.6779	4690.9173	79217.6023	109.3674
"TCGA-04-1514"	256.1888	247.8411	190.9614	1964.5941	554.4041	514.4214	1124.928	2665.2274	1172.9994	1118.3074	1692.5734	230.8578	116.7818	1022.7404	3371.6177	1999.6028	4075.9931	770.8693	181.9229	198.6183	150.5469	11906.4479	643.0628	4237.4784	2003.7421	178.1808	870.7542	5203.2239	2837.3633	9999.1364	1196.8912	5726.2522	9029.266	762.2337	5027.9217	1460.5239	501.7271	20.1497	3.4542	4561.3184	2563.0397	147.3805	2323.2585	1629.5337	1295.9125	3786.1255	1612.2625	2105.0662	13411.0535	2479.4761	327.5763	1352.0438	2084.9165	667.9908	1488.4859	509.4991	6234.8877	477.5475	4902.9937	3014.1048	2113.1261	1463.4427	556.707	714.1623	2132.7001	27463.1549	1446.1716	579.1595	276.9056	2000	8616.8566	83107.369	152.5792
"TCGA-24-1548"	1017.542	248.5022	526.5396	1480.434	675.5546	652.6302	180.4933	3681.33	1866.897	2534.4632	2498.1918	3372.8073	84.1172	1863.4425	3830.5176	7634.9004	1563.7718	827.7627	222.81	737.3023	636.6924	7734.0098	817.6175	4134.2905	1268.635	391.8605	1352.4046	14138.9324	2240.8377	1053.8134	3091.0563	6964.3223	6055.8925	615.3182	7103.7945	2073.8209	873.1041	4.5339	9.9315	3424.4076	9516.7053	65.6339	4218.0601	1924.3267	1214.6597	2376.6395	3864.4141	1800.8312	3366.762	1714.4708	540.4005	2371.6738	697.1447	856.769	1486.6951	444.5404	10561.235	64.7703	4326.2266	4364.0093	2031.6295	2179.7377	1120.5268	450.8015	2850.5425	36569.3312	902.4667	199.4926	125.0435	2394.5593	4067.2921	106260.9165	261.9096
