"sampleID"	"BAK1"	"BAX"	"BID"	"BCL2L11"	"CASP7"	"BAD"	"BCL2"	"BCL2L1"	"BIRC2"	"CDK1"	"CCNB1"	"CCNE1"	"CCNE2"	"CDKN1B"	"PCNA"	"FOXM1"	"TP53BP1"	"ATM"	"BRCA2"	"CHEK1"	"CHEK2"	"XRCC5"	"MRE11A"	"TP53"	"RAD50"	"RAD51"	"XRCC1"	"FN1"	"CDH2"	"COL6A1"	"CLDN7"	"CDH1"	"CTNNB1"	"SERPINE1"	"ESR1"	"PGR"	"AR"	"INPP4B"	"GATA3"	"AKT1"	"AKT2"	"AKT3"	"GSK3A"	"GSK3B"	"AKT1S1"	"TSC2"	"PTEN"	"ARAF"	"JUN"	"RAF1"	"MAPK8"	"MAPK1"	"MAPK3"	"MAP2K1"	"MAPK14"	"RPS6KA1"	"YBX1"	"EGFR"	"ERBB2"	"ERBB3"	"SHC1"	"SRC"	"EIF4EBP1"	"RPS6KB1"	"MTOR"	"RPS6"	"RB1"	"CAV1"	"MYH11"	"RAB11A"	"RAB11B"	"GAPDH"	"RBM15"
"TCGA-BF-A1PU"	869.8052	2191.5584	203.6071	393.5065	195.7792	1409.9091	1712.3377	5731.4935	221.7532	302.2727	1433.1169	240.2597	82.5097	503.8961	3877.2727	2577.3052	1172.7273	697.0779	53.8961	110.0649	196.7532	11251.6234	201.9481	5618.8312	376.9481	385.7143	1567.5325	164604.2208	1834.7403	16828.2468	19.1558	15537.013	22373.039	389.6104	20.4545	2.9221	1.2987	146.1039	10.3896	7891.2338	2964.2857	1351.9481	2876.2987	2401.6234	1947.4026	2769.4805	213.6364	1534.0909	1698.3766	1937.987	50.974	4736.3636	2663.6006	1172.7273	1187.3377	315.9091	5122.4026	20.7792	1413.6364	13275.3247	3216.5584	2181.4935	1326.6234	219.4805	1715.2597	10425	692.2078	10679.2208	696.9513	3582.7922	3726.9448	137227.9221	75.6494
"TCGA-BF-A1PX"	1289.5377	1342.7181	454.3239	690.65	483.8373	1167.7998	540.146	2686.479	682.308	504.6924	1030.5874	158.4984	106.7049	708.3768	3324.9913	2445.1338	572.1237	696.9065	36.4964	397.2888	225.9298	7453.2499	214.1119	2622.5235	236.7049	261.0358	1215.1547	44169.6211	78.2065	30411.8874	33.0205	5475.8429	9880.4275	879.7358	52.8328	7.9944	19.1171	1033.7157	736.5311	5558.9155	3762.5999	900.5909	2284.3239	1606.8822	1851.9291	1816.8231	1345.4988	1405.9784	1477.5808	2394.5082	94.8905	3446.2982	2041.3834	1735.1234	1692.0403	1405.6309	11298.5749	686.8266	2388.5992	11315.9541	5229.4056	3450.4692	2959.3326	392.4227	1864.7897	16985.749	907.5426	3227.3201	322.1933	4206.8127	2154.3274	131851.5815	143.8999
"TCGA-BF-A1PZ"	775.8002	1767.3211	353.675	401.8028	382.5529	1156.6359	982.0487	4408.8305	603.7736	799.0222	1494.7674	176.6099	98.4249	833.5498	4231.9151	2289.133	803.3	1536.0171	52.8607	234.0539	76.0828	10463.0662	203.8041	1349.324	245.665	185.4709	978.9932	17566.5725	116.1103	5116.4922	56.8329	13656.0996	10831.8203	190.0542	9.1666	2.75	0.9167	847.9108	18.3332	7128.8672	2959.5906	3360.1711	2235.7345	975.9377	1905.7368	1896.8757	983.8821	1046.5205	1617.2943	1921.9311	139.6379	4043.083	1567.373	1162.6553	1086.548	712.5506	16106.027	14.0555	951.7989	16990.2437	11056.451	2470.094	1713.8492	492.2466	2418.761	9341.9907	1015.6596	2800.7028	27.952	3402.0319	2178.596	178135.5129	244.1464
"TCGA-D3-A1Q1"	559.0974	1409.7421	808.1698	548.7106	412.6074	391.8338	128.9398	2012.5358	616.404	291.5473	688.7536	411.8911	107.0917	879.298	2435.8883	1480.0107	1746.7765	2058.7393	108.8825	152.2206	345.6304	13205.9456	406.1605	4127.8653	1101.361	113.8968	1364.6132	11272.5645	6.447	3743.9112	7.1633	3195.9169	28402.5609	310.8883	5.7307	0	1.4327	357.4499	2.8653	2102.4355	3883.2378	4294.4126	2524.3553	1867.4785	3115.3295	2504.298	723.4957	536.8911	478.8682	1654.7278	172.9943	2475.2865	889.144	1130.2256	2040.8309	210.6017	20709.8854	70.2006	1867.8367	28457.7364	4375.3582	3119.9857	879.6562	761.1032	2077.3639	25058.7393	1258.596	2020.7736	10.8345	2439.1117	1139.6848	543668.3381	171.9699
"TCGA-D3-A1Q4"	482.3976	915.4336	528.633	636.4657	396.0148	950.4654	707.1426	1407.554	1517.1218	574.7637	1175.704	112.5594	259.3691	824.1894	1450.5585	2531.2151	1157.3804	2760.885	279.3419	334.3128	221.7533	8663.7118	541.8559	2164.4321	1866.0187	151.4504	835.034	151234.6481	1439.7139	25540.8977	65.4415	1248.2506	8626.6757	3601.5283	40.7607	59.4583	20.1934	354.5062	45.2481	2934.3986	3753.7267	2400.7696	1565.7356	1411.6675	2227.256	915.0597	1596.7735	1150.6492	1129.7079	1378.3858	160.0513	3641.9151	1002.9047	1153.5773	1614.3493	296.5437	6007.9072	725.8289	1662.589	8988.6758	7343.6625	1301.7257	1256.4775	997.703	1333.1376	30213.0496	1854.4262	5794.7548	2541.8129	2198.8357	1776.9921	258725.1801	120.4124
"TCGA-D3-A1Q5"	352.9412	868.6465	325.8766	1253.5694	329.526	732.6613	894.3461	1185.0371	1135.3512	150.1999	529.9829	164.4774	39.4061	1082.8098	1601.3706	631.5591	2851.5134	1281.5534	107.3672	85.0942	126.7847	5691.0337	673.9006	1678.4694	1564.8201	83.3809	1672.1873	104189.6059	3062.8212	16391.205	14.2776	1.1422	9417.43	1356.9389	17.7042	26.2707	129.6402	192.4615	798.4009	3400.3427	3501.9989	3027.4129	2436.8932	1176.4706	1908.6236	1062.8212	1035.4083	785.2656	1143.3467	1461.4506	98.2296	2656.1965	773.4495	1297.2873	1341.5191	599.6573	5355.7967	647.6242	1870.9309	10938.321	5226.7276	1997.1445	1341.5191	636.779	1683.0383	15628.2125	1318.1039	2918.9035	627.1502	2491.719	3407.1959	58196.4592	169.6174
"TCGA-D3-A1Q6"	542.8177	1336.5562	396.7127	151.0129	746.3168	275.3453	77.3481	1756.4457	3284.9908	727.9006	1145.0276	347.1455	206.1418	745.3959	1476.5193	1010.9346	1134.8987	1502.7624	267.4954	340.2394	349.4475	7830.1105	337.0166	1338.3978	1559.8527	171.2707	269.7974	6032.6888	113.7201	1215.0092	20.2578	3.2228	6482.0212	9354.512	19.337	1.8416	0.4604	155.1565	20.7182	2605.8932	1946.593	1556.1694	2276.7035	1922.6519	1602.6703	575.9669	736.6483	949.8158	1532.6888	2160.6814	250.9208	4687.8453	1236.9337	2589.2541	1180.9392	4428.1768	8712.2468	10.5893	832.8729	1351.2891	9707.1823	1009.6685	1369.7053	1080.1105	1168.9687	26474.6777	2558.9319	3460.4052	51.8094	3123.849	882.5967	81202.1179	200.2762
"TCGA-D3-A1Q7"	922.0976	998.7703	604.3515	972.4412	894.6112	431.6933	1033.4901	1539.8192	885.642	832.1157	1440.5787	531.2116	730.7429	1956.1664	4469.8734	1448.7233	1362.17	1447.5226	295.4069	255.1899	188.9331	9258.5895	366.2929	1634.4304	939.4575	154.5027	985.1718	54070.1627	243.6166	13275.3707	22.8571	3060.8318	19302.9758	2694.8282	96.3472	11.2839	9.2586	1768.1013	177.0705	6642.4593	1887.0163	2810.2712	1447.2333	1456.7812	757.179	1394.2857	1622.8571	925.2803	5273.3454	1839.8553	120.9403	3267.9928	1052.1085	1225.5392	1719.2043	1425.5335	8906.1844	178.2105	859.8915	6332.0072	5595.9494	2561.1573	817.0705	749.9458	2541.4828	12446.7269	1552.5497	3184.3761	172.9967	2308.5714	1432.1881	89383.5805	329.6058
"TCGA-D3-A1Q8"	577.0014	1965.0611	293.0258	245.9294	404.0027	510.5292	225.5767	1525.7802	1121.7775	486.7707	591.9267	189.2809	139.559	922.9986	2646.2008	888.5617	2108.209	1096.3365	83.4464	303.5957	159.7693	9136.3636	271.7096	2275.441	633.6499	225.9159	1293.4193	226517.6391	2582.768	35281.886	15.6038	11.5332	16521.3569	2926.0516	37.3134	36.2958	2.7137	280.19	232.0217	4207.9376	2252.7137	2291.0448	1732.7001	2207.2592	1284.2605	2686.9064	1721.1669	1278.8331	3209.9729	2038.3311	152.3066	2854.1384	1604.81	2099.0027	1259.1588	772.7273	10873.4735	106.5129	2821.9132	8724.2198	18170.2849	983.7178	1738.4668	593.2836	2210.6513	10775.1018	1821.5739	4045.7938	1637.5441	3255.4274	2896.5299	80914.8575	124.8304
"TCGA-D3-A1Q9"	577.5947	1979.2422	544.9325	1428.3361	292.5865	1862.3526	352.2241	18479.4069	373.3114	852.0593	1103.7891	380.5601	51.3245	841.8451	2215.8155	2198.4843	1528.5008	1368.6985	225.7002	122.8995	286.3262	11581.8781	187.4794	554.5305	952.2241	146.6227	866.8863	33451.4003	7.9077	4643.8221	16.145	34597.3641	24140.9753	657.0016	12.5206	4.2834	1.318	609.2257	36.2438	3934.1021	2348.9292	1129.1598	2440.5272	1824.7117	693.2455	1328.8303	170.0165	1064.5799	1468.2043	1522.2405	88.9621	6012.1911	1185.8715	1149.0511	1167.0511	885.9967	4640.8567	11.5321	1510.7084	6860.2965	2225.7002	2401.6474	1477.7595	619.4399	2990.7743	19918.6161	1051.4003	3378.9127	39.374	4427.3476	1475.1236	64016.804	139.7035
